nome_escola_siope,municipio,nome_dependencia_administrativa,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero,end2,lon,lat
BEIJA FLOR EMEI,Paraguaçu Paulista,MUNICIPAL,223323,35223323,BARRA FUNDA,PARAGUACU PAULISTA,19700000,RUA,AVENIDA MANOEL ANTONIO DE SOUZA,1480,"avenida manoel antonio de souza 1480 barra funda , SP, Brasil",-50.5704912,-22.4088276
MARIA LOURENCO DA SILVA CRECHE MUNICIPAL,Iguape,MUNICIPAL,270829,35270829,ROCIO,IGUAPE,11920000,AVENIDA,RUA JOSE RODRIGUES ALVES,500,"rua jose rodrigues alves 500 rocio , SP, Brasil",-47.5699905,-24.7132149
CENTRO DE EDUCACAO INFANTIL ANA PAULA DO PRADO,Ubatuba,MUNICIPAL,471331,35471331,SERTAO DA QUINA,UBATUBA,11680000,RUA,RUA JOSE PEDRO,80,"rua jose pedro 80 sertao da quina , SP, Brasil",-45.2468816,-23.5299991
CENTRO DE EDUCACAO INFANTIL ANA PAULA DO PRADO,Ubatuba,MUNICIPAL,471331,35471331,SERTAO DA QUINA,UBATUBA,11680000,RUA,RUA JOSE PEDRO,80,"rua jose pedro 80 sertao da quina , SP, Brasil",-45.2468816,-23.5299991
CRECHE MUNICIPAL PROF DR JOSE ANTONIO BORTOLOTTI,São Simão,MUNICIPAL,585646,35585646,CENTRO,SAO SIMAO,14200000,RUA,RUA DOMINGOS CORREA,1052,"rua domingos correa 1052 centro , SP, Brasil",-46.4382679,-23.6946609
MARCILIO BONDESAN ESCOLA MUNICIPAL,São Simão,MUNICIPAL,223074,35223074,BENTO QUIRINO,SAO SIMAO,14200000,RUA,RUA JOSE SILVEIRA,376,"rua jose silveira 376 bento quirino , SP, Brasil",-47.5842547,-21.4528712
MARINA SALETE NEPOMUCENO DO AMARAL PROFA EM,Ubatuba,MUNICIPAL,274100,35274100,PEREQUE ACU,UBATUBA,11680000,RUA,RUA RAPOSO TAVARES,16,"rua raposo tavares 16 pereque acu , SP, Brasil",-45.065408,-23.4182243
ELIZA PEREIRA DE BARROS EMEF,Lençóis Paulista,MUNICIPAL,64075,35064075,CENTRO,LENCOIS PAULISTA,18682042,RUA,RUA SETE DE SETEMBRO,635,"rua sete de setembro 635 centro , SP, Brasil",-49.0767052,-22.3270283
BENEDITA PEREIRA ALBUQUERQUE PROFA EMEF,Santa Branca,MUNICIPAL,234163,35234163,JARDIM SANTA CECILIA,SANTA BRANCA,12380000,RUA,RUA NOVE DE JULHO,140,"rua nove de julho 140 jardim santa cecilia , SP, Brasil",-45.8809704,-23.3950067
DEBORAH SILVA CAMARGO EMEF,Cananéia,MUNICIPAL,249464,35249464,VILA CABANA,CANANEIA,11990000,AVENIDA,RUA  JOAO CARLOS B MULLER,SN,"rua  joao carlos b muller sn vila cabana , SP, Brasil",-46.603404,-23.4584856
CARMITA MOREIRA DE AGUIAR PAVARINI EMEF,Turmalina,MUNICIPAL,233535,35233535,CENTRO,TURMALINA,15755000,RUA,RUA SERGIPE,661,"rua sergipe 661 centro , SP, Brasil",-46.6600296,-23.5473788
BAIRRO ACARAU PEM,Cananéia,MUNICIPAL,221855,35221855,ACARAU,CANANEIA,11990000,AVENIDA,PRACA DOS ESPORTES,SN,"praca dos esportes sn acarau , SP, Brasil",-40.119189,-2.8977968
BAIRRO ACARAU PEM,Cananéia,MUNICIPAL,221855,35221855,ACARAU,CANANEIA,11990000,AVENIDA,PRACA DOS ESPORTES,SN,"praca dos esportes sn acarau , SP, Brasil",-40.119189,-2.8977968
CLELIA MARILDA CERQUEIRA THOSI EMEI,Timburi,MUNICIPAL,65808,35065808,CENTRO,TIMBURI,18860000,RUA,RUA PEDRO RIBEIRO,462,"rua pedro ribeiro 462 centro , SP, Brasil",-46.6332825,-23.673648
SEBASTIANA LUIZA DE OLIVEIRA PRADO EM,Ubatuba,MUNICIPAL,57356,35057356,ARARIBA,UBATUBA,11680000,"",ESTRADA DO ARARIBA,1280,"estrada do arariba 1280 arariba , SP, Brasil",-45.2503572,-23.543305
DINORAH PEREIRA DE SOUZA PROFA EMEI,Ubatuba,MUNICIPAL,69073,35069073,ESTUFA I,UBATUBA,11680000,RUA,PRACA DA MATRIZ,46,"praca da matriz 46 estufa i , SP, Brasil",-45.0706745,-23.4337871
ESUPERANDIO FRANCISCO JULIO CRECHE AMAPROM,Monte Aprazível,MUNICIPAL,206581,35206581,VILA APARECIDA,MONTE APRAZIVEL,15150000,RUA,AVENIDA SAO PAULO,194,"avenida sao paulo 194 vila aparecida , SP, Brasil",-46.607963,-24.0882253
RAUL VIEIRA LUZ PROFESSOR EMEF,Monte Aprazível,MUNICIPAL,218844,35218844,VILA ARAUJO,MONTE APRAZIVEL,15150000,RUA,RUA ALIPIO BASTOS,482,"rua alipio bastos 482 vila araujo , SP, Brasil",-49.713614,-20.777021
RAYMUNDO CINTRA PROF EMEF,Botucatu,MUNICIPAL,436800,35436800,DISTRITO VITORIANA,VITORIANA,18619970,"",RUA TURMA SEIS,SN,"rua turma seis sn distrito vitoriana , SP, Brasil",-48.399031,-22.7798116
LOURDES RASQUINHO ROSCHEL ESCOLA MUNICIPAL,Embu-Guaçu,MUNICIPAL,643282,35643282,VILA SCHUNCK,EMBU GUACU,6900000,RUA,RUA HERMES DA FONSECA,58,"rua hermes da fonseca 58 vila schunck , SP, Brasil",-46.8046331,-23.8730219
ALTAMIRO DE ASSIS RODRIGUES CONEGO ESCOLA MUNICIPAL,Monte Aprazível,MUNICIPAL,650336,35650336,CENTRO,ENGENHEIRO BALDUINO,15150000,RUA,RUA PEDRO ALEXANDRE DA SILVA,172,"rua pedro alexandre da silva 172 centro , SP, Brasil",-50.5296641,-21.9187197
PEDRO STRABELLI EM,Vitória Brasil,MUNICIPAL,65882,35065882,CENTRO,VITORIA BRASIL,15713970,"",RUA JOSE NOGUEIRA DE SOUZA,701,"rua jose nogueira de souza 701 centro , SP, Brasil",-50.4855155,-20.2005724
DELMIRA TERESINHA VILLA GOBBO PROFA EMEI,Taguaí,MUNICIPAL,452063,35452063,CARNIATOS,TAGUAI,18890000,RUA,RUA ANTONIO CARNIATO,468,"rua antonio carniato 468 carniatos , SP, Brasil",-49.4002486,-23.456421
FELICIANO SALES CUNHA EMEB,Monte Aprazível,MUNICIPAL,62112,35062112,CENTRO,MONTE APRAZIVEL,15150000,RUA,PRACA SAO JOAO,179,"praca sao joao 179 centro , SP, Brasil",-46.639182,-23.542774
ESPERANCA DE OLIVEIRA EMEF,Lençóis Paulista,MUNICIPAL,240837,35240837,CENTRO,LENCOIS PAULISTA,18680010,RUA,ANITA GARIBALDI,959,"anita garibaldi 959 centro , SP, Brasil",-46.646718,-23.5436213
IDALINA CANOVA DE BARROS PROFA EMEF E SUPLETIVO,Lençóis Paulista,MUNICIPAL,96817,35096817,JARDIM NOVA LENCOIS,LENCOIS PAULISTA,18685510,RUA,CHUPINS,580,"chupins 580 jardim nova lencois , SP, Brasil",-48.8158121,-22.5789708
MONTEIRO LOBATO EMEI,Lençóis Paulista,MUNICIPAL,64105,35064105,JARDIM MORUMBI,LENCOIS PAULISTA,18683080,RUA,RICHIERI JACOMO DALBEN,586,"richieri jacomo dalben 586 jardim morumbi , SP, Brasil",-48.8057885,-22.6020655
ANTONIO JOAO NASTARO EMEB,Tietê,MUNICIPAL,432155,35432155,BAIRRO CONCEICAO,TIETE,18530000,RUA,BAIRRO CONCEICAO,SN,"bairro conceicao sn bairro conceicao , SP, Brasil",-46.6412687,-23.635197
ZELIA CAMARGO DE ARRUDA PROFA EMEB,Tietê,MUNICIPAL,200505,35200505,JARDIM BONANZA,TIETE,18530000,RUA,RUA MIGUEL ATALIBA NOGUEIRA TEMER,145,"rua miguel ataliba nogueira temer 145 jardim bonanza , SP, Brasil",-47.7159268,-23.0867861
JURITI CEMEI,Itatiba,MUNICIPAL,231319,35231319,JARDIM DAS NACOES,ITATIBA,13256712,RUA,BELGICA,65,"belgica 65 jardim das nacoes , SP, Brasil",-46.4641011,-23.4366647
AUREA MONTEZZO BEISSMANN PROFA EMEB,Charqueada,MUNICIPAL,228904,35228904,JARDIM VISTA ALEGRE,CHARQUEADA,13515000,AVENIDA,RUA QUERUBIM FERREIRA DE ALMEIDA,251,"rua querubim ferreira de almeida 251 jardim vista alegre , SP, Brasil",-47.7731937,-22.5019939
WALDA PAOLINETTI LOZASSO EM,Atibaia,MUNICIPAL,244302,35244302,CHACARAS FERNAO DIAS,ATIBAIA,12954637,RUA,ESMERALDAS,SN,"esmeraldas sn chacaras fernao dias , SP, Brasil",-46.5368184,-23.0293425
HAYDEE CANEVESI LOURENCAO PROFA EMEF,Areiópolis,MUNICIPAL,241441,35241441,CENTRO,AREIOPOLIS,18670000,PRACA,RUA DOUTOR JOAO ABILIO GOMES,401,"rua doutor joao abilio gomes 401 centro , SP, Brasil",-48.6648331,-22.6702156
BENNO CARLOS CLAUS PROF EMEB,Itatiba,MUNICIPAL,215417,35215417,JARDIM GALETTO,ITATIBA,13253180,RUA,THEODORO DIAS ARANHA,113,"theodoro dias aranha 113 jardim galetto , SP, Brasil",-46.8229084,-23.0094932
CRECHE MUNICIPAL PALMYRA TURCHI,Charqueada,MUNICIPAL,580429,35580429,SANTA LUZIA,CHARQUEADA,13515000,AVENIDA,CEZIRA CHITOLINA SIVIEIRO,SN,"cezira chitolina sivieiro sn santa luzia , SP, Brasil",-47.7371899,-22.5866901
PEDRO PUPO DA SILVEIRA PREFEITO EMEI,Areiópolis,MUNICIPAL,57678,35057678,VILA CREMER,AREIOPOLIS,18670000,PRACA,RUA IZALTINO FRANCISCO DOS SANTOS,221,"rua izaltino francisco dos santos 221 vila cremer , SP, Brasil",-48.6665945,-22.6717631
CURIO CEMEI,Itatiba,MUNICIPAL,231277,35231277,JARDIM SALESSI,ITATIBA,13251130,RUA,JOSE FELIZARDO RODRIGUES,78,"jose felizardo rodrigues 78 jardim salessi , SP, Brasil",-46.8469453,-22.9976712
SANTA MARIA GORETTI EMEI,Ribeirão Preto,MUNICIPAL,62959,35062959,VILA VIRGINIA,RIBEIRAO PRETO,14030210,RUA,RUA RANGEL PESTANA,311,"rua rangel pestana 311 vila virginia , SP, Brasil",-47.8247885,-21.1878838
HILDA MOSCA ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,Ribeirão Preto,MUNICIPAL,464351,35464351,JARDIM DIVA TARLA DE CARVALHO,RIBEIRAO PRETO,14079391,RUA,LUCIO ODUVALDO SIMIONATO,155,"lucio oduvaldo simionato 155 jardim diva tarla de carvalho , SP, Brasil",-47.7395221,-21.1290556
THOMAZ VICTORIA RODRIGUES EMEI,Barueri,MUNICIPAL,67647,35067647,JARDIM AUDIR,JARDIM SILVEIRA,6433080,RUA,MARELISA,155,"marelisa 155 jardim audir , SP, Brasil",-46.8888107,-23.5255645
CELIA MIGUEL NOTOLLINI PROFESSORA CENTRO INTEG DE EDUCACAO,Araçoiaba da Serra,MUNICIPAL,479767,35479767,JARDIM NOGUEIRA,ARACOIABA DA SERRA,18190000,ESTRADA,RUA PROFESSOR TOLEDO,756,"rua professor toledo 756 jardim nogueira , SP, Brasil",-47.465699,-23.4968546
MARISA MASCARENHAS DI TATA CRECHE MUNICIPAL,Araçoiaba da Serra,MUNICIPAL,497666,35497666,CONJ HAB MARIA PAULA ESPOSITO,ARACOIABA DA SERRA,18190000,ESTRADA,ASSUMPTA BONADIO GOMES,300,"assumpta bonadio gomes 300 conj hab maria paula esposito , SP, Brasil",-47.6257543,-23.5159579
CHAPEUZINHO VERMELHO CENTRO DE EDUC INFANTIL MUNICIPAL,Porto Feliz,MUNICIPAL,208985,35208985,VILA PROGRESSO,PORTO FELIZ,18540000,ESTRADA,AVENIDA ARMANDO S DE OLIVEIRA,SN,"avenida armando s de oliveira sn vila progresso , SP, Brasil",-47.528468,-23.2005588
JOSE NUNES DOS SANTOS EMEFEI,Martinópolis,MUNICIPAL,234138,35234138,GUACHOS,GUACHOS,19500000,RUA,RUA AGUDOS,SN,"rua agudos sn guachos , SP, Brasil",-51.0285421,-21.9947662
JOAQUIM PIRES DE TOLEDO CEMEI,Itatiba,MUNICIPAL,478817,35478817,SITIO DA MOENDA,ITATIBA,13252810,RODOVIA,ALKINDAR MONTEIRO JUNQUEIRA,KM 32,"alkindar monteiro junqueira km 32 sitio da moenda , SP, Brasil",-46.7347838,-22.977502
BEIJA FLOR CEMEI,Itatiba,MUNICIPAL,231216,35231216,JARDIM SANTO ANTONIO,ITATIBA,13251330,RUA,MARIA DE LOURDES PANTANO SCAVONE,550,"maria de lourdes pantano scavone 550 jardim santo antonio , SP, Brasil",-46.8330414,-23.0014371
FELIPE PATACHO CALLEGARI EM,Atibaia,MUNICIPAL,94237,35094237,JARDIM IMPERIAL,ATIBAIA,12950230,RUA,TOQUIO,SN,"toquio sn jardim imperial , SP, Brasil",-46.5844729,-23.1442898
GICELDA BAENNINGER PROFA CEMEI,Bebedouro,MUNICIPAL,431357,35431357,PARQUE RESIDENCIAL SANTO ANTONIO,BEBEDOURO,14702146,RUA,PRUDENCIA,191,"prudencia 191 parque residencial santo antonio , SP, Brasil",-48.4714754,-20.9650957
ANGELINO PERCINOTO CRECHE MUNICIPAL,Martinópolis,MUNICIPAL,272346,35272346,TECAINDA,MARTINOPOLIS,19500000,RUA,RUA HERMENEGILDO BIAZI,10,"rua hermenegildo biazi 10 tecainda , SP, Brasil",-51.1373612,-22.0049737
ROQUE SOARES SOUZA EMEI,Barueri,MUNICIPAL,271974,35271974,PARQUE IMPERIAL,BARUERI,6462425,RUA,RENILDE DE ALMEIDA PROFESSORA,355,"renilde de almeida professora 355 parque imperial , SP, Brasil",-46.8026278,-23.4782847
PAULO FREIRE PROF EMEF,Ribeirão Preto,MUNICIPAL,243218,35243218,JARDIM HEITOR RIGON,RIBEIRAO PRETO,14062070,RUA,RUA SINDICALISTA LUIZ ANTONIO CORREA,40,"rua sindicalista luiz antonio correa 40 jardim heitor rigon , SP, Brasil",-47.8128371,-21.1143201
JOAO DA CRUZ MOREIRA CRECHE MUNICIPAL,Ribeirão Preto,MUNICIPAL,233444,35233444,VALENTINA FIGUEIREDO,RIBEIRAO PRETO,14061669,RUA,RUA DOUTOR FRANCISCO HENRIQUE LINO DA ROCHA,71,"rua doutor francisco henrique lino da rocha 71 valentina figueiredo , SP, Brasil",-47.8081996,-21.1189319
EMINOLDO HARGER EMEI,Barueri,MUNICIPAL,78177,35078177,PARQUE IMPERIAL,BARUERI,6462010,RUA,CICERO ROMAO BATISTA PADRE,75,"cicero romao batista padre 75 parque imperial , SP, Brasil",-46.8120591,-23.4899333
JOSE BONIFACIO COUTINHO NOGUEIRA EMEI,Ribeirão Preto,MUNICIPAL,84931,35084931,ORESTES LOPES DE CAMARGO,RIBEIRAO PRETO,14066440,RUA,RUA GREGORIO PEREIRA,146,"rua gregorio pereira 146 orestes lopes de camargo , SP, Brasil",-47.8297555,-21.1215465
QUINTINO VIEIRA EMEI,Ribeirão Preto,MUNICIPAL,454497,35454497,JARDIM PAIVA,RIBEIRAO PRETO,14056838,RUA,FRANCISCO PEIXOTO,151,"francisco peixoto 151 jardim paiva , SP, Brasil",-47.8394974,-21.1529166
HAMILTON PRADO DEPUTADO FEDERAL ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,267314,35267314,VILA OLINDA,RIO CLARO,13504164,RUA,RUA 14,3896,"rua 14 3896 vila olinda , SP, Brasil",-46.535308,-23.5763985
MITIKO MATSUSHITA NEVOEIRO ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,204997,35204997,JARDIM SAO JOAO,RIO CLARO,13505420,AVENIDA,AVENIDA M 31,2260,"avenida m 31 2260 jardim sao joao , SP, Brasil",-47.5773237,-22.3811735
ANTONIO MARIA MARROTE ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,83926,35083926,ESTADIO,RIO CLARO,13501340,RUA,RUA 17 BE,315,"rua 17 be 315 estadio , SP, Brasil",-47.5618982,-22.4224595
THIAGO SILVA SANTOS EMEI,Jacareí,MUNICIPAL,200311,35200311,VILA APRAZIVEL,JACAREI,12307660,RUA,VITORIA,400,"vitoria 400 vila aprazivel , SP, Brasil",-45.9537608,-23.3010397
EPHRAIM RIBEIRO DOS SANTOS PROF ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,83203,35083203,VILA CRISTINA,RIO CLARO,13506040,RUA,AVENIDA JOSE FELICIO CASTELLANO,1660,"avenida jose felicio castellano 1660 vila cristina , SP, Brasil",-47.5512749,-22.3845277
JARDIM DAS PALMEIRAS ESCOLA MUNICIPAL CAIC,Rio Claro,MUNICIPAL,74871,35074871,JARDIM BRASILIA,RIO CLARO,13500280,AVENIDA,AVENIDA 18 JB,401,"avenida 18 jb 401 jardim brasilia , SP, Brasil",-47.5817716,-22.4340349
PAULO KOELLE DR ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,61426,35061426,CENTRO,RIO CLARO,13500110,RUA,RUA 12,867,"rua 12 867 centro , SP, Brasil",-46.6320967,-23.5406338
NELSON COSTA DOS SANTOS PADRE CRECHE MUNICIPAL,Ribeirão Preto,MUNICIPAL,233468,35233468,DOM BERNARDO JOSE MIELLE,RIBEIRAO PRETO,14057390,RUA,RUA JOSE ROBERTO RODRIGUES,116,"rua jose roberto rodrigues 116 dom bernardo jose mielle , SP, Brasil",-47.8501007,-21.1356761
SEBASTIAO MARTINS DE MOURA CENTRO DE EDUCACAO INFANTIL,Ribeirão Preto,MUNICIPAL,427615,35427615,IPIRANGA,RIBEIRAO PRETO,14060510,RUA,ESPIRITO SANTO,2374,"espirito santo 2374 ipiranga , SP, Brasil",-40.3088626,-19.1834229
DERCY CELIA SEIXAS FERRARI PROFA EMEF,Ribeirão Preto,MUNICIPAL,233328,35233328,CONJUNTO HABITACIONAL JARDIM DAS PALMEIRAS,RIBEIRAO PRETO,14094018,RUA,DOMINGOS HUMBERTO BARILLARI,210,"domingos humberto barillari 210 conjunto habitacional jardim das palmeiras , SP, Brasil",-47.7396796,-21.1883766
JARBAS MASSULLO PROF EMEF,Ribeirão Preto,MUNICIPAL,202307,35202307,PARQUE SAO SEBASTIAO,RIBEIRAO PRETO,14093400,RUA,RUA HERON DOMINGUES,810,"rua heron domingues 810 parque sao sebastiao , SP, Brasil",-47.7391975,-21.1841837
MARIA IGNEZ LOPES ROSSI PROFA EMEF,Ribeirão Preto,MUNICIPAL,212854,35212854,JARDIM MANOEL PENNA,RIBEIRAO PRETO,14098322,RUA,ANSELMO MARQUES RODRIGUES,450,"anselmo marques rodrigues 450 jardim manoel penna , SP, Brasil",-47.7678952,-21.2147622
MARINCEK CRECHE MUNICIPAL MODELO,Ribeirão Preto,MUNICIPAL,233456,35233456,ANTONIO MARINCEK,RIBEIRAO PRETO,14061190,RUA,RUA ROBERTO MICHELLIN,257,"rua roberto michellin 257 antonio marincek , SP, Brasil",-47.8087765,-21.127207
EPONINA DE BRITTO ROSSETTO PROFA EMEF,Ribeirão Preto,MUNICIPAL,205540,35205540,RECREIO INTERNACIONAL,RIBEIRAO PRETO,14094582,RUA,RUA D,SN,"rua d sn recreio internacional , SP, Brasil",-47.7157197,-21.1870844
ANA FRANCO DO AMARAL PROFESSORA CEI,Ribeirão Preto,MUNICIPAL,435934,35435934,JARDIM HELENA,RIBEIRAO PRETO,14094105,RUA,PEDRO FORTUNATO BARBIERI,509,"pedro fortunato barbieri 509 jardim helena , SP, Brasil",-47.7364306,-21.1861444
NARCISO NICOLODI IRMAO EMEI,Ribeirão Preto,MUNICIPAL,212878,35212878,ADELINO SIMIONI,RIBEIRAO PRETO,14071380,RUA,RUA CAROLINA TIEZI STRAMBI,470,"rua carolina tiezi strambi 470 adelino simioni , SP, Brasil",-47.7973377,-21.1120393
EIZABURO NOMURA PROF EMEF,Barueri,MUNICIPAL,439666,35439666,JARDIM ITAPARICA,BARUERI,6447100,AVENIDA MARGINAL,ESQUERDA,1177,"esquerda 1177 jardim itaparica , SP, Brasil",-46.8772025,-23.5379622
NAIR MANOELINA DE OLIVEIRA CEI,Ribeirão Preto,MUNICIPAL,454485,35454485,JARDIM JOAO ROSSI,RIBEIRAO PRETO,14026515,RUA,ANTONIO FREDERICO OZANAM,1205,"antonio frederico ozanam 1205 jardim joao rossi , SP, Brasil",-47.822012,-21.2128652
BRANCA SERRA CRECHE MUNCIPAL,Ribeirão Preto,MUNICIPAL,233389,35233389,JARDIM ALEXANDRE BALBO,RIBEIRAO PRETO,14066030,RUA,RUA THEODORA FERNANDES GRIFFO,350,"rua theodora fernandes griffo 350 jardim alexandre balbo , SP, Brasil",-47.8313049,-21.1297896
WALDEMAR ROBERTO PROFESSOR DOUTOR EMEF,Ribeirão Preto,MUNICIPAL,435946,35435946,JARDIM PROFESSOR ANTONIO PALOCCI,RIBEIRAO PRETO,14079163,RUA,ANTONIO GOMES DE SOUZA,355,"antonio gomes de souza 355 jardim professor antonio palocci , SP, Brasil",-47.7380524,-21.1227967
WILSON ROSELINO DR EMEI,Ribeirão Preto,MUNICIPAL,477710,35477710,JARDIM PEDRA BRANCA,RIBEIRAO PRETO,14079460,RUA,NILZA DE OLIVEIRA STRAMBI,1925,"nilza de oliveira strambi 1925 jardim pedra branca , SP, Brasil",-47.7404422,-21.1376472
HONORATO DE LUCCA PROF EMEF,Ribeirão Preto,MUNICIPAL,206436,35206436,JARDIM SALGADO FILHO,RIBEIRAO PRETO,14078290,RUA,RUA ANHEMBI,401,"rua anhembi 401 jardim salgado filho , SP, Brasil",-47.7718875,-21.129242
ISOLINA HUPPERT CASSAVIA ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,204985,35204985,JARDIM BRASILIA,RIO CLARO,13502290,AVENIDA,AVENIDA 18 BR,401,"avenida 18 br 401 jardim brasilia , SP, Brasil",-47.5822142,-22.4336228
RUBENS FOOT GUIMARAES ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,98966,35098966,AJAPI,AJAPI,13508970,HORTO DE AJAPI,ESTRADA RIO CLARO AJAPI,KM7,"estrada rio claro ajapi km7 ajapi , SP, Brasil",-47.5493352,-22.2817605
CLAUDIA MARIA GASPAR QUEIROZ DO PRADO EMEF,Jacareí,MUNICIPAL,460990,35460990,JARDIM SANTA MARINA,JACAREI,12312540,RUA,JUNQUEIRA FREIRE,60,"junqueira freire 60 jardim santa marina , SP, Brasil",-45.927983,-23.2966696
MONSENHOR MARTINS ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,267338,35267338,VILA OPERARIA,RIO CLARO,13504120,AVENIDA,AVENIDA 36,717,"avenida 36 717 vila operaria , SP, Brasil",-47.5675684,-22.3954564
CELESTE CALIL ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,299662,35299662,JARDIM NOVO WENZEL,RIO CLARO,13503665,RUA,RUA SEIS,756,"rua seis 756 jardim novo wenzel , SP, Brasil",-47.603477,-22.4064509
DANTE EGREGGIO ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,93531,35093531,VILA PAULISTA,RIO CLARO,13506855,RUA,RUA P 4,SN,"rua p 4 sn vila paulista , SP, Brasil",-47.550977,-22.4198355
ANTONIO SEBASTIAO DA SILVA PROF ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,267284,35267284,PARQUE DAS INDUSTRIAS,RIO CLARO,13505373,RUA,M 17,721,"m 17 721 parque das industrias , SP, Brasil",-47.5742359,-22.3774681
LUIS CARLOS CORACAO PROF EMEF,Torre de Pedra,MUNICIPAL,267582,35267582,CENTRO,TORRE DE PEDRA,18265000,RUA,RUA ATALIBA COSTA AVILA,225,"rua ataliba costa avila 225 centro , SP, Brasil",-48.1965179,-23.2476152
ANTONIO DE ALMEIDA BARROS EMEI,Torre de Pedra,MUNICIPAL,57721,35057721,CENTRO,TORRE DE PEDRA,18265000,"",VEREADOR MÉLICO GONÇALVES DA SILVA,518,"vereador mélico gonçalves da silva 518 centro , SP, Brasil",-48.1986813,-23.2438245
LAURA PENNA JOLY PROFA ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,78694,35078694,CIDADE RURAL AJAPI,AJAPI,13508970,"",RUA DEZ,188,"rua dez 188 cidade rural ajapi , SP, Brasil",-46.5818581,-23.4506268
ROSA MARIA CASTELLANO PIERONI ESCOLA MUNICIPAL,Rio Claro,MUNICIPAL,236366,35236366,JARDIM CHERVESON,RIO CLARO,13505320,AVENIDA,M 15,580,"m 15 580 jardim cherveson , SP, Brasil",-47.5639973,-22.386493
DIRCE DE ALMEIDA BRAGA WRASEK PROFA EMEF,Aparecida d'Oeste,MUNICIPAL,361215,35361215,COHAB CARMINO ZEULI,APARECIDA D OESTE,15735000,RUA,RUA JOSE PEDRO REIS,146,"rua jose pedro reis 146 cohab carmino zeuli , SP, Brasil",-46.6426295,-23.5661473
PEQUENO APRENDIZ ESCOLA MUNICIPAL,Ibiúna,MUNICIPAL,281591,35281591,CENTRO,IBIUNA,18150000,RUA,RUA JOAQUIM INACIO RODRIGUES,SN,"rua joaquim inacio rodrigues sn centro , SP, Brasil",-47.2235995,-23.6586
NEIDE APARECIDA SOBREIRO LISBOA PROFA EMEI,Quintana,MUNICIPAL,62297,35062297,SANTO ANTONIO,QUINTANA,17670000,AVENIDA,VIA PERIMETRAL SUL,SN,"via perimetral sul sn santo antonio , SP, Brasil",-50.2986542,-22.0720937
MARIO COVAS GOVERNADOR EMEIEF,Lavrinhas,MUNICIPAL,219236,35219236,CAPELA JACU,LAVRINHAS,12760000,RUA,RUA GERALDO NOGUEIRA DE SA,SN,"rua geraldo nogueira de sa sn capela jacu , SP, Brasil",-44.9003304,-22.5110857
JOAO CARDOSO DE MORAES ESCOLA MUNICIPAL,Ibiúna,MUNICIPAL,277459,35277459,CAPIM AZEDO,IBIUNA,18150000,RUA,RUA EUROPA,SN,"rua europa sn capim azedo , SP, Brasil",-46.6105475,-23.6639992
MARIA CECILIA COSTA SERAFIM PROFA EMEIEF,Lavrinhas,MUNICIPAL,273776,35273776,RECANTO TRANQUILO,LAVRINHAS,12760000,RUA,RUA DE ACESSO,SN,"rua de acesso sn recanto tranquilo , SP, Brasil",-46.6087075,-23.1644201
ALICE COUTO DE MORAES EMEB,Araçatuba,MUNICIPAL,65079,35065079,PARAISO,ARACATUBA,16050205,PRACA,GEREMIAS LUNARDELLI,1018,"geremias lunardelli 1018 paraiso , SP, Brasil",-46.7345777,-23.5871927
ODETE COSTA BODSTEIN PROFA EMEB,Araçatuba,MUNICIPAL,564485,35564485,CONJUNTO HABITACIONAL IVO TOZZI,ARACATUBA,16012582,RUA,VICENTINA COELHO,531,"vicentina coelho 531 conjunto habitacional ivo tozzi , SP, Brasil",-50.41425,-21.2190656
JARDIM VENEZA EMEIF,Peruíbe,MUNICIPAL,221909,35221909,JARDIM VENEZA,PERUIBE,11750000,AVENIDA,RUA FIRMINO PEREIRA DOS SANTOS,372,"rua firmino pereira dos santos 372 jardim veneza , SP, Brasil",-47.016697,-24.3239169
DALILA DA SILVA AFONSO PROFA EMEF R,Bocaina,MUNICIPAL,220590,35220590,PEDRO ALEXANDRINO,BOCAINA,17240000,RUA,RUA PRIMO BUDIN,SN,"rua primo budin sn pedro alexandrino , SP, Brasil",-48.468848,-22.1195064
MARIA AMELIA MERCADANTE TURCI PROFA EMEI,Jacareí,MUNICIPAL,85984,35085984,PARQUE SANTO ANTONIO,JACAREI,12309410,RUA,IBISCOS,580,"ibiscos 580 parque santo antonio , SP, Brasil",-45.9572586,-23.3127966
DECIO MOREIRA PROF EMEF,Jacareí,MUNICIPAL,219538,35219538,JARDIM DORA,JACAREI,12305810,ESTRADA,ESTRADA MUNICIPAL DO LIMOEIRO,250,"estrada municipal do limoeiro 250 jardim dora , SP, Brasil",-45.9485535,-23.2670188
