nome_escola_siope,municipio,nome_dependencia_administrativa,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero,end2,lon,lat
MARISTELLA JACOB DE SOUZA PROFA CRECHE ESCOLA,Aparecida,MUNICIPAL,202915,35202915,VILA MARIANA,APARECIDA,12570000,AVENIDA,RUA VICENTE DE ALMEIDA,SN,"rua vicente de almeida sn vila mariana , SP, Brasil",-45.2190511,-22.8303664
MARIA ELISA QUADROS CAMARA PROFA EM,Bragança Paulista,MUNICIPAL,226592,35226592,APARECIDA,BRAGANCA PAULISTA,12912590,RUA,CASPER LIBERO,1150,"casper libero 1150 aparecida , SP, Brasil",-46.651121,-23.5651035
BAIRRO GUARIPOCABA DA ESTACAO EM RURAL,Bragança Paulista,MUNICIPAL,662409,35662409,GUARIPOCABA,BRAGANCA PAULISTA,12929701,ESTRADA MUNICIPAL,BAIRRO GUARIPOCABA,SN,"bairro guaripocaba sn guaripocaba , SP, Brasil",-46.501731,-22.9250728
BAIRRO GUARIPOCABA DA ESTACAO EM RURAL,Bragança Paulista,MUNICIPAL,662409,35662409,GUARIPOCABA,BRAGANCA PAULISTA,12929701,ESTRADA MUNICIPAL,BAIRRO GUARIPOCABA,SN,"bairro guaripocaba sn guaripocaba , SP, Brasil",-46.501731,-22.9250728
BAIRRO MORRO GRANDE DA BOA VISTA EM,Bragança Paulista,MUNICIPAL,226634,35226634,MORRO GRANDE DA BOA VISTA,BRAGANCA PAULISTA,12900005,RUA,BAIRRO MORRO GRANDE BOA VISTA,SN,"bairro morro grande boa vista sn morro grande da boa vista , SP, Brasil",-46.4407596,-23.0154062
ALDO BOLINI PADRE EM,Bragança Paulista,MUNICIPAL,204481,35204481,NUCLEO HABITACIONAL PADRE ALDO BOLINI,BRAGANCA PAULISTA,12908420,AVENIDA,DJANIRA BRANDI BERTOLOTTI,SN,"djanira brandi bertolotti sn nucleo habitacional padre aldo bolini , SP, Brasil",-46.5439891,-22.9349177
FRANCISCO MURILO PINTO PROF DR ESCOLA MUNICIPAL,Bragança Paulista,MUNICIPAL,281141,35281141,JARDIM AGUAS CLARAS,BRAGANCA PAULISTA,12929090,AVENIDA,ANTONIO PIEROTTI,SN,"antonio pierotti sn jardim aguas claras , SP, Brasil",-46.5267574,-22.9195801
ZITTA DE MELLO BARBOSA PROFA EM,Bragança Paulista,MUNICIPAL,204663,35204663,PENHA,BRAGANCA PAULISTA,12929470,AVENIDA,PENHA NOSSA SENHORA,807,"penha nossa senhora 807 penha , SP, Brasil",-46.548099,-23.5276281
MARIA LOSSASSO SABELLA PROFA EM,Bragança Paulista,MUNICIPAL,270465,35270465,PLANEJADA I,BRAGANCA PAULISTA,12929090,AVENIDA,ZENOVIA  CIOBAN,SN,"zenovia  cioban sn planejada i , SP, Brasil",-46.5561711,-22.9167094
ORLANDO PINTO DE OLIVEIRA PROF EM,Bragança Paulista,MUNICIPAL,60689,35060689,VILA SANTA LIBANIA,BRAGANCA PAULISTA,12904140,AVENIDA,EUZEBIO SAVAIO,96,"euzebio savaio 96 vila santa libania , SP, Brasil",-46.5446739,-22.9435608
PAULO SERGIO FERNANDES DE OLIVEIRA DES PROF DR EM,Bragança Paulista,MUNICIPAL,439150,35439150,VILA SANTA LIBANIA,BRAGANCA PAULISTA,12904180,RUA,BOCAINA,478,"bocaina 478 vila santa libania , SP, Brasil",-46.5497503,-22.9465858
HENEDINA RODRIGUES CORTEZ I DONA EM,Bragança Paulista,MUNICIPAL,204596,35204596,JARDIM DA FRATERNIDADE,BRAGANCA PAULISTA,12926680,RUA,LEOVIGILDO DANTAS DE BRITTO,300,"leovigildo dantas de britto 300 jardim da fraternidade , SP, Brasil",-46.5456219,-22.9189193
HENEDINA RODRIGUES CORTEZ I DONA EM,Bragança Paulista,MUNICIPAL,204596,35204596,JARDIM DA FRATERNIDADE,BRAGANCA PAULISTA,12926680,RUA,LEOVIGILDO DANTAS DE BRITTO,300,"leovigildo dantas de britto 300 jardim da fraternidade , SP, Brasil",-46.5456219,-22.9189193
FERNANDO DA SILVA LEME PROF EM,Bragança Paulista,MUNICIPAL,204584,35204584,SANTA LUZIA,BRAGANCA PAULISTA,12919514,RUA,ITAPECHINGA,995,"itapechinga 995 santa luzia , SP, Brasil",-46.5573011,-22.9712789
CELIA GRASSON PROFA ESCOLA MUNICIPAL,Bragança Paulista,MUNICIPAL,481026,35481026,CIDADE JARDIM,BRAGANCA PAULISTA,12903721,ESTRADA,ESTRADA MUNICIPAL FRANCISCO LOPES ROJAS,1286,"estrada municipal francisco lopes rojas 1286 cidade jardim , SP, Brasil",-46.5737538,-22.9288392
AFFONSO RISI PROF DR EM,Bragança Paulista,MUNICIPAL,204675,35204675,JARDIM DO CEDRO,BRAGANCA PAULISTA,12926282,RUA,JOSE DOMINICCI,1241,"jose dominicci 1241 jardim do cedro , SP, Brasil",-46.5355896,-22.9217988
IVONNE DOS SANTOS DIAS PROFA EM,Bragança Paulista,MUNICIPAL,247285,35247285,CIDADE PLANEJADA II,BRAGANCA PAULISTA,12922580,RUA,AGOSTINHO ROSA,260,"agostinho rosa 260 cidade planejada ii , SP, Brasil",-46.5520434,-22.9113493
IVONNE DOS SANTOS DIAS PROFA EM,Bragança Paulista,MUNICIPAL,247285,35247285,CIDADE PLANEJADA II,BRAGANCA PAULISTA,12922580,RUA,AGOSTINHO ROSA,260,"agostinho rosa 260 cidade planejada ii , SP, Brasil",-46.5520434,-22.9113493
JOAQUIM THEODORO DA SILVA PROF EM,Bragança Paulista,MUNICIPAL,226609,35226609,JARDIM DOUTOR JULIO DE MESQUITA FILHO,BRAGANCA PAULISTA,12910610,AVENIDA,FRANCISCO SAMUEL LUCCHESI,421,"francisco samuel lucchesi 421 jardim doutor julio de mesquita filho , SP, Brasil",-46.5274703,-22.9446457
JORGE TIBIRICA DR EM,Bragança Paulista,MUNICIPAL,226610,35226610,CENTRO,BRAGANCA PAULISTA,12900340,RUA,LEME CORONEL,SN,"leme coronel sn centro , SP, Brasil",-46.541378,-22.959264
RUTHNEA DE CASSIA SOUZA PROFA EMEI,Paraguaçu Paulista,MUNICIPAL,88973,35088973,VILA NOVA,PARAGUACU PAULISTA,19700000,RUA,RUA HERCULANO AZEVEDO,463,"rua herculano azevedo 463 vila nova , SP, Brasil",-50.585831,-22.4255116
ANTONIO NOGUEIRA CORONEL EMEF,Paraguaçu Paulista,MUNICIPAL,215867,35215867,CENTRO,PARAGUACU PAULISTA,19700000,RUA,RUA MARIA PAULA GAMBIER COSTA,586,"rua maria paula gambier costa 586 centro , SP, Brasil",-50.5783168,-22.4144504
IVONY AFFINI MATHEUS PROFA EMEIF,Paraguaçu Paulista,MUNICIPAL,215892,35215892,CENTRO,CONCEICAO DE MONTE ALEGRE,19700000,DISTRITO CONCEICAO DE MONTE ALEGRE,AVENIDA EMILIANO V DE CARVALHO,509,"avenida emiliano v de carvalho 509 centro , SP, Brasil",-46.6320967,-23.5406338
LEILA LUCIA DIAS DE TOLEDO PIZA DURANTE CER,Américo Brasiliense,MUNICIPAL,211965,35211965,JARDIM BELA VISTA,AMERICO BRASILIENSE,14820000,RUA,RUA MANOEL JOSE PIRES,751,"rua manoel jose pires 751 jardim bela vista , SP, Brasil",-48.1046072,-21.7366119
THEREZA QUADRADO BARBIERI CENTRO DE EDUCACAO E RECREACAO,Américo Brasiliense,MUNICIPAL,392352,35392352,JARDIM LUIS OMETTO II,AMERICO BRASILIENSE,14820000,RUA,AVENIDA RAFAEL HERVIAS RODRIGUES,192,"avenida rafael hervias rodrigues 192 jardim luis ometto ii , SP, Brasil",-48.1067937,-21.7399597
EMEF ATEMARO RODRIGUES DE SOUZA,Américo Brasiliense,MUNICIPAL,569264,35569264,JARDIM SANTA TEREZINHA,AMERICO BRASILIENSE,14820000,RUA,RUA JOSE CARLESCI,SN,"rua jose carlesci sn jardim santa terezinha , SP, Brasil",-48.1267619,-21.7381842
AMERICO RONCALLI EMEF,Américo Brasiliense,MUNICIPAL,223438,35223438,JARDIM SAO JOSE,AMERICO BRASILIENSE,14820000,RUA,AVENIDA SECONDO DELLA ROVERE,595,"avenida secondo della rovere 595 jardim sao jose , SP, Brasil",-48.1195244,-21.7340172
SIMONE IRENE PAVAO CER,Américo Brasiliense,MUNICIPAL,211941,35211941,JARDIM VISTA ALEGRE,AMERICO BRASILIENSE,14820000,RUA,RUA FERNANDO PRESTES,393,"rua fernando prestes 393 jardim vista alegre , SP, Brasil",-49.8587806,-22.9796238
VERA LUCIA CAVASSANI CER,Américo Brasiliense,MUNICIPAL,236160,35236160,JARDIM SAO JOSE,AMERICO BRASILIENSE,14820000,RUA,AVENIDA SECONDO DELLA ROVERE,615,"avenida secondo della rovere 615 jardim sao jose , SP, Brasil",-46.6291845,-23.5431786
VIRGILIO GOMES PROF EMEF,Américo Brasiliense,MUNICIPAL,225897,35225897,JARDIM VISTA ALEGRE,AMERICO BRASILIENSE,14820000,RUA,RUA FERNANDO PRESTES,SN,"rua fernando prestes sn jardim vista alegre , SP, Brasil",-48.1202934,-21.7453418
JOAO BAPTISTA PEREIRA DE ALMEIDA DR EMEF,Américo Brasiliense,MUNICIPAL,215211,35215211,CENTRO,AMERICO BRASILIENSE,14820000,RUA,AVENIDA JOAQUIM AFONSO COSTA,393,"avenida joaquim afonso costa 393 centro , SP, Brasil",-48.1073257,-21.7297848
SHIRLEY PIEROBON NEUBHAHER CER,Américo Brasiliense,MUNICIPAL,211953,35211953,JARDIM VISTA ALEGRE,AMERICO BRASILIENSE,14820000,RUA,AVENIDA DAS ARARAS,SN,"avenida das araras sn jardim vista alegre , SP, Brasil",-46.685807,-23.4502129
LILIANE MAURICIO CENTRO DE EDUCACAO E RECREACAO,Américo Brasiliense,MUNICIPAL,247212,35247212,SAO JUDAS TADEU,AMERICO BRASILIENSE,14820000,RUA,RUA ZORAIDE PEREIRA DE CORDIS,SN,"rua zoraide pereira de cordis sn sao judas tadeu , SP, Brasil",-48.1034775,-21.7204983
CAROLINA OMETTO PAVAN CER,Américo Brasiliense,MUNICIPAL,471732,35471732,CENTRO,AMERICO BRASILIENSE,14820000,RUA,RUA MANOEL BORBA,112,"rua manoel borba 112 centro , SP, Brasil",-46.7040872,-23.6535815
MARIA IGNEA MORALES GARCIA PROFA EM,Bragança Paulista,MUNICIPAL,213974,35213974,JARDIM SANTA RITA DE CASSIA,BRAGANCA PAULISTA,12914001,AVENIDA,ANTONIO PIRES PIMENTEL,1997,"antonio pires pimentel 1997 jardim santa rita de cassia , SP, Brasil",-46.5346235,-22.9649368
ANTONIO DORIVAL MONTEIRO DE OLIVEIRA EM,Bragança Paulista,MUNICIPAL,226579,35226579,JARDIM IGUATEMI,BRAGANCA PAULISTA,12903680,RUA,ANTONIO LUPPE,200,"antonio luppe 200 jardim iguatemi , SP, Brasil",-46.5645725,-22.9336388
MARIA ERCI RAMOS VALLE PROFA EM,Bragança Paulista,MUNICIPAL,371786,35371786,NUCLEO RESIDENCIAL HENEDINA RODRIGUES CORTEZ,BRAGANCA PAULISTA,12927130,AVENIDA,8 DE MAIO,SN,"8 de maio sn nucleo residencial henedina rodrigues cortez , SP, Brasil",-46.5456219,-22.9189193
JOSE MURILLO ARRUDA PROF - PROF JUCA EM,Bragança Paulista,MUNICIPAL,449209,35449209,APARECIDA,BRAGANCA PAULISTA,12912530,AVENIDA,CRISTOVAO SAO,291,"cristovao sao 291 aparecida , SP, Brasil",-45.2306887,-22.8552757
AUGUSTO VASCONCELLOS EM,Bragança Paulista,MUNICIPAL,204511,35204511,JARDIM SAO LOURENCO,BRAGANCA PAULISTA,12908530,AVENIDA,RUA ALONSO C AMARAL,220,"rua alonso c amaral 220 jardim sao lourenco , SP, Brasil",-46.539295,-22.9345335
