no_municipio,nome_escola_siope,esc,nome_dependencia_administrativa,nome_escola_secretaria,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero
santana de parnaiba,BENEDITA ODETTE DE MORAIS SAVOIA COLEGIO MUNICIPAL,benedita odette de morais savoia colegio municipal,MUNICIPAL,BENEDITA ODETTE DE MORAIS SAVOIA COLEGIO MUNICIPAL,286977,35286977,JARDIM SAO LUIS,SANTANA DE PARNAIBA,6502225,RUA,ESPANHA,516
santana de parnaiba,PINGO DE GENTE COLEGIO MUNICIPAL,pingo de gente colegio municipal,MUNICIPAL,PINGO DE GENTE COLEGIO MUNICIPAL,208059,35208059,PARQUE SANTANA,SANTANA DE PARNAIBA,6515055,RUA,CAQUIZEIROS,11
santana de parnaiba,MARIA FERNANDES MACHADO DE OLIVEIRA COLEGIO MUNICIPAL,maria fernandes machado de oliveira colegio municipal,MUNICIPAL,MARIA FERNANDES MACHADO DE OLIVEIRA COLEGIO MUNICIPAL,218085,35218085,REFUGIO DOS BANDEIRANTES,SANTANA DE PARNAIBA,6506030,RUA,RUBI,330
santana de parnaiba,BERNARDINO MARQUES DA SILVA PREF COLEGIO MUNICIPAL,bernardino marques da silva pref colegio municipal,MUNICIPAL,BERNARDINO MARQUES DA SILVA PREF COLEGIO MUNICIPAL,240874,35240874,CIDADE SAO PEDRO - GLEBA A,SANTANA DE PARNAIBA,6535165,AVENIDA,DO GAVIAO,360
santana de parnaiba,MONTEIRO LOBATO COLEGIO MUNICIPAL,monteiro lobato colegio municipal,MUNICIPAL,MONTEIRO LOBATO COLEGIO MUNICIPAL,448473,35448473,JARDIM SAO LUIS,SANTANA DE PARNAIBA,6502290,RUA,RUA HONDURAS,287
guararema,SYLVIO LUCIANO DE CAMPOS ESCOLA MUNICIPAL,sylvio luciano de campos escola municipal,MUNICIPAL,SYLVIO LUCIANO DE CAMPOS ESCOLA MUNICIPAL,364307,35364307,FREGUESIA DA ESCADA,GUARAREMA,8900000,AVENIDA,RUA PEDRO MAURO,27
mogi das cruzes,DORACY BAPTISTA DE CAMPOS PEREIRA PROFA EMEF,doracy baptista de campos pereira profa emef,MUNICIPAL,DORACY BAPTISTA DE CAMPOS PEREIRA PROFA EMEF,463693,35463693,VILA BRASILEIRA,MOGI DAS CRUZES,8738260,RUA,JOSE BENEDITO DOS SANTOS,SN
mogi das cruzes,ARMINDO FREIRE MARMORA DESEMBARGADOR EM,armindo freire marmora desembargador em,MUNICIPAL,ARMINDO FREIRE MARMORA DESEMBARGADOR EM,268902,35268902,JARDIM DAS BANDEIRAS,CEZAR DE SOUZA,8830420,RUA,ALOISIO DE AZEVEDO,109
mogi das cruzes,JOSE ALVES DOS SANTOS EM,jose alves dos santos em,MUNICIPAL,JOSE ALVES DOS SANTOS EM,95312,35095312,JUNDIAPEBA,JUNDIAPEBA,8752020,RUA,MANOEL ALVES DOS ANJOS TENENTE,2485
mogi das cruzes,FLORISA FAUSTINO PINTO PROFA EM,florisa faustino pinto profa em,MUNICIPAL,FLORISA FAUSTINO PINTO PROFA EM,54689,35054689,JARDIM SANTOS DUMONT II,MOGI DAS CRUZES,8762150,RUA,EUROPA,20
mogi das cruzes,TERESA MARTINS PINHAL PROFA EM,teresa martins pinhal profa em,MUNICIPAL,TERESA MARTINS PINHAL PROFA EM,203634,35203634,VILA JUNDIAI,MOGI DAS CRUZES,8745340,RUA,JOSE GALDINO DE CASTRO,252
andradina,LEONOR SALOMAO EMEF,leonor salomao emef,MUNICIPAL,LEONOR SALOMAO EMEF,232981,35232981,JARDIM SANTA CECILIA,ANDRADINA,16902040,AVENIDA,BANDEIRANTES,3025
porto ferreira,FERDINANDO MELCHIORETTO CRECHE,ferdinando melchioretto creche,MUNICIPAL,FERDINANDO MELCHIORETTO CRECHE,235799,35235799,CRISTO REDENTOR,PORTO FERREIRA,13660000,RUA,RUA JOSE OLIVIERI,325
porto ferreira,JOAO TEIXEIRA PROF CAIC EMEF,joao teixeira prof caic emef,MUNICIPAL,JOAO TEIXEIRA PROF CAIC EMEF,202381,35202381,JARDIM INDEPENDENCIA,PORTO FERREIRA,13660000,RUA,RUA MIGUEL UCHELLI,575
porto ferreira,MARIO BORELLI THOMAZ EMEFM,mario borelli thomaz emefm,MUNICIPAL,MARIO BORELLI THOMAZ EMEFM,61761,35061761,CENTRO,PORTO FERREIRA,13660000,RUA,RUA LUIZ GAMA,81
porto ferreira,OTILIA DA SILVA SILVEIRA PROFA EMEI,otilia da silva silveira profa emei,MUNICIPAL,OTILIA DA SILVA SILVEIRA PROFA EMEI,81267,35081267,CRISTO REDENTOR,PORTO FERREIRA,13660000,RUA,RUA JOSE OLIVIERI,365
porto ferreira,AGOSTINHO GARCIA PROF EMEF,agostinho garcia prof emef,MUNICIPAL,AGOSTINHO GARCIA PROF EMEF,214425,35214425,JARDIM ANESIA,PORTO FERREIRA,13660000,RUA,RUA JOSEFINA SARTE TEIXEIRA,170
santana de parnaiba,CELINA DA COSTA MACHADO SILVA DONA COLEGIO MUNICIPAL,celina da costa machado silva dona colegio municipal,MUNICIPAL,CELINA DA COSTA MACHADO SILVA DONA COLEGIO MUNICIPAL,286989,35286989,JARDIM ISAURA,SANTANA DE PARNAIBA,6516090,RUA,CONSTANTINOPLA,909
santana de parnaiba,GASPAR DE GODOI COLACO TTE GAL COLEGIO MUNICIPAL,gaspar de godoi colaco tte gal colegio municipal,MUNICIPAL,GASPAR DE GODOI COLACO TTE GAL COLEGIO MUNICIPAL,240941,35240941,CENTRO,SANTANA DE PARNAIBA,6501010,RUA,RAIMUNDO CORONEL,32
santana de parnaiba,BALAO MAGICO COLEGIO MUNICIPAL,balao magico colegio municipal,MUNICIPAL,BALAO MAGICO COLEGIO MUNICIPAL,208000,35208000,JARDIM SILVIO,SANTANA DE PARNAIBA,6528451,RUA,MUNDO,SN
santana de parnaiba,ULYSSES SILVEIRA GUIMARAES DEPUTADO COLEGIO MUNICIPAL,ulysses silveira guimaraes deputado colegio municipal,MUNICIPAL,ULYSSES SILVEIRA GUIMARAES DEPUTADO COLEGIO MUNICIPAL,56169,35056169,CIDADE SAO PEDRO - GLEBA A,SANTANA DE PARNAIBA,6535165,RUA,GAVIAO,179
santana de parnaiba,ALDONIO RAMOS TEIXEIRA PROF COLEGIO MUNICIPAL,aldonio ramos teixeira prof colegio municipal,MUNICIPAL,ALDONIO RAMOS TEIXEIRA PROF COLEGIO MUNICIPAL,273648,35273648,PARQUE SANTANA,SANTANA DE PARNAIBA,6515115,RUA,RUA GEMEOS,50
guararema,ESCOLA MUNICIPAL PAULO ISMAEL DOS SANTOS SOBRINHO,escola municipal paulo ismael dos santos sobrinho,MUNICIPAL,ESCOLA MUNICIPAL PAULO ISMAEL DOS SANTOS SOBRINHO,581732,35581732,PARATEI,GUARAREMA,8900000,AVENIDA,RUA MARANHAO,112
mogi das cruzes,SONIA BRASIL DE SIQUEIRA ANDREUCCI PROFA EM,sonia brasil de siqueira andreucci profa em,MUNICIPAL,SONIA BRASIL DE SIQUEIRA ANDREUCCI PROFA EM,243395,35243395,JARDIM MARGARIDA,MOGI DAS CRUZES,8772120,RUA,FATIMA,62
porto ferreira,SUD MENNUCCI EMEF,sud mennucci emef,MUNICIPAL,SUD MENNUCCI EMEF,214413,35214413,CENTRO,PORTO FERREIRA,13660000,RUA,RUA CORONEL PROCOPIO DE CARVALHO,352
porto ferreira,ALZIRA SCHEFFER CRECHE,alzira scheffer creche,MUNICIPAL,ALZIRA SCHEFFER CRECHE,235775,35235775,ALTO DO SERRA D'AGUA,PORTO FERREIRA,13660000,RUA,RUA SEBASTIAO PEREIRA,20
porto ferreira,EUCHARIS FORTES SALZANO CRECHE MUNICIPAL,eucharis fortes salzano creche municipal,MUNICIPAL,EUCHARIS FORTES SALZANO CRECHE MUNICIPAL,279195,35279195,VILA MARIA,PORTO FERREIRA,13660000,RUA,AVENIDA DOUTOR ADHEMAR DE BARROS,995
porto ferreira,RUTH BARROSO TEIXEIRA EMEF,ruth barroso teixeira emef,MUNICIPAL,RUTH BARROSO TEIXEIRA EMEF,301899,35301899,JARDIM PORTO BELLO,PORTO FERREIRA,13660000,RUA,RUA ARGEMIRO GOMES,700
porto ferreira,JANDIRA FORTES DENUNCI PROFA EMEI,jandira fortes denunci profa emei,MUNICIPAL,JANDIRA FORTES DENUNCI PROFA EMEI,97214,35097214,ALTO DO SERRA D'AGUA,PORTO FERREIRA,13660000,RUA,RUA HANS BERAN,260
porto ferreira,NADIR ZADRA RIBALDO PROFA EMEF,nadir zadra ribaldo profa emef,MUNICIPAL,NADIR ZADRA RIBALDO PROFA EMEF,214395,35214395,ALTO DO SERRA D'AGUA,PORTO FERREIRA,13660000,RUA,RUA CELSO MIRANDA SALGUEIRO,95
santana de parnaiba,CIRANDA COLEGIO MUNICIPAL,ciranda colegio municipal,MUNICIPAL,CIRANDA COLEGIO MUNICIPAL,208024,35208024,CHACARA DO SOLAR I (FAZENDINHA),SANTANA DE PARNAIBA,6530030,RUA,MARANHAO,242
santana de parnaiba,ALVARO RIBEIRO DR COLEGIO MUNICIPAL,alvaro ribeiro dr colegio municipal,MUNICIPAL,ALVARO RIBEIRO DR COLEGIO MUNICIPAL,240862,35240862,JARDIM ISAURA,SANTANA DE PARNAIBA,6516055,RUA,VENEZA,377
sertaozinho,JOANNINHA GILBERTI PROFESSORA EMEF,joanninha gilberti professora emef,MUNICIPAL,JOANNINHA GILBERTI PROFESSORA EMEF,65171,35065171,CAMPO BELO,SERTAOZINHO,14178057,RUA,RUA HUGO GAIOFATO,162
sertaozinho,ANA CASALINE ABDALA EMEI,ana casaline abdala emei,MUNICIPAL,ANA CASALINE ABDALA EMEI,270490,35270490,PARQUE DOS IPES,SERTAOZINHO,14177096,RUA,RUA BRAZ PASCHOAL,1067
limeira,MAURICIO SEBASTIAO FERREIRA PADRE EMEIEF,mauricio sebastiao ferreira padre emeief,MUNICIPAL,MAURICIO SEBASTIAO FERREIRA PADRE EMEIEF,286229,35286229,JARDIM DO LAGO,LIMEIRA,13481625,RUA,JOAO POMPEU FILHO,571
limeira,JOSE PAULINO ARAUJO VARGAS PROF EMEIEF,jose paulino araujo vargas prof emeief,MUNICIPAL,JOSE PAULINO ARAUJO VARGAS PROF EMEIEF,74962,35074962,PARQUE HIPOLYTO,LIMEIRA,13486567,RUA,RUA DOUTOR ADHEMAR PEREIRA DE BARROS,SN
sao jose do rio pardo,SAO JUDAS TADEU EMEB,sao judas tadeu emeb,MUNICIPAL,SAO JUDAS TADEU EMEB,89424,35089424,VALE REDENTOR II,SAO JOSE DO RIO PARDO,13720000,AVENIDA,RUA JOSE CALSONI,100
sertaozinho,ROBERTO ZANUTTO DESIDERIO PROFESSOR EMEF,roberto zanutto desiderio professor emef,MUNICIPAL,ROBERTO ZANUTTO DESIDERIO PROFESSOR EMEF,439459,35439459,JARDIM SUMARE,SERTAOZINHO,14170580,AVENIDA,APARECIDA NOSSA SENHORA,2685
limeira,EGLE MARIA CIARROCHI PROFA EMEIEF,egle maria ciarrochi profa emeief,MUNICIPAL,EGLE MARIA CIARROCHI PROFA EMEIEF,241878,35241878,JARDIM OURO VERDE,LIMEIRA,13482085,RUA,RUA ACELINO COSTA TANK,231
limeira,CRESO ASSUMPCAO COIMBRA EMEIEF,creso assumpcao coimbra emeief,MUNICIPAL,CRESO ASSUMPCAO COIMBRA EMEIEF,208395,35208395,JARDIM CAMPOS ELISEOS,LIMEIRA,13485321,RUA,RUA HENRIQUE JACOBS,275
mogi das cruzes,NOEMIA REAL FIDALGO PROFA EM,noemia real fidalgo profa em,MUNICIPAL,NOEMIA REAL FIDALGO PROFA EM,203609,35203609,JARDIM MARICA,MOGI DAS CRUZES,8775520,AVENIDA,EZELINO DA CUNHA GLORIA,285
mogi das cruzes,CARLOS ALBERTO LOPES EM,carlos alberto lopes em,MUNICIPAL,CARLOS ALBERTO LOPES EM,50258,35050258,VILA MOGILAR,MOGI DAS CRUZES,8773500,RUA,CORREA NETO DOUTOR,366
andradina,MARIA VERA QUENTAL TAMAI PROFESSORA EMEBI,maria vera quental tamai professora emebi,MUNICIPAL,MARIA VERA QUENTAL TAMAI PROFESSORA EMEBI,249531,35249531,VILA BOTEGA,ANDRADINA,16901807,RUA,RUA SAO MARIO,12
porto ferreira,MARIA SYLVIA DE CAMARGO BIFFI CRECHE,maria sylvia de camargo biffi creche,MUNICIPAL,MARIA SYLVIA DE CAMARGO BIFFI CRECHE,301887,35301887,JARDM PASCHOAL SALZANO,PORTO FERREIRA,13660000,RUA,RUA TEREZINHA XAUBET DUZ,152
mogi das cruzes,INEZELIA DA MOTTA RONDON PROFA CEIM,inezelia da motta rondon profa ceim,MUNICIPAL,INEZELIA DA MOTTA RONDON PROFA CEIM,482729,35482729,PARQUE RESIDENCIAL ITAPETI,MOGI DAS CRUZES,8771017,RUA,JOAO VASSOLER,400
mogi das cruzes,MAURILIO SOUZA LEITE FILHO PREFEITO EM,maurilio souza leite filho prefeito em,MUNICIPAL,MAURILIO SOUZA LEITE FILHO PREFEITO EM,77094,35077094,JARDIM CINTIA,CEZAR DE SOUZA,8830250,RUA,FRANCISCO DE SAMPAIO FREI,44
mogi das cruzes,SERGIO BENEDITO F DE ALMEIDA DR EM,sergio benedito f de almeida dr em,MUNICIPAL,SERGIO BENEDITO F DE ALMEIDA DR EM,87836,35087836,CONJUNTO RESIDENCIAL SANTO ANGELO,JUNDIAPEBA,8763180,RUA,JORGE SAO,30
santana de parnaiba,TEOTONIO VILELA SENADOR COLEGIO MUNICIPAL,teotonio vilela senador colegio municipal,MUNICIPAL,TEOTONIO VILELA SENADOR COLEGIO MUNICIPAL,192880,35192880,CHACARA DO SOLAR II (FAZENDINHA),SANTANA DE PARNAIBA,6531095,RUA,ORBITA,954
santana de parnaiba,HELENA CHAVES DEMANGE PROFA COLEGIO MUNICIPAL,helena chaves demange profa colegio municipal,MUNICIPAL,HELENA CHAVES DEMANGE PROFA COLEGIO MUNICIPAL,218091,35218091,JAGUARI,SANTANA DE PARNAIBA,6533001,ESTRADA,RUA FLORA,10
santana de parnaiba,LEDA CAIRA PROFA COLEGIO MUNICIPAL,leda caira profa colegio municipal,MUNICIPAL,LEDA CAIRA PROFA COLEGIO MUNICIPAL,273685,35273685,VARZEA DOS SOUZAS,SANTANA DE PARNAIBA,6530001,ESTRADA,RUA LUA MINGUANTE,191
sarapui,CONCEICAO APARECIDA HOLTZ SANTOS PROFA EMEF,conceicao aparecida holtz santos profa emef,MUNICIPAL,CONCEICAO APARECIDA HOLTZ SANTOS PROFA EMEF,279055,35279055,VILA ANA MARIA,SARAPUI,18225000,RUA,RUA DOUTOR JULIO PRESTES,780
irapuru,PEDRO LEITE RIBEIRO EMEF,pedro leite ribeiro emef,MUNICIPAL,PEDRO LEITE RIBEIRO EMEF,338370,35338370,CENTRO,IRAPURU,17880000,"",RUA RIO BRANCO,367
irapuru,IRAPURU EMEFEI DE,irapuru emefei de,MUNICIPAL,IRAPURU EMEFEI DE,61657,35061657,CENTRO,IRAPURU,17880000,"",RUA ANGELO MENEGUESSO,295
mogi das cruzes,DERMEVAL AROUCA PROF EM,dermeval arouca prof em,MUNICIPAL,DERMEVAL AROUCA PROF EM,53338,35053338,PARQUE SANTANA,MOGI DAS CRUZES,8737230,RUA,JAIME ANGELO NOGUEIRA,8
mogi das cruzes,CYNIRA OLIVEIRA DE CASTRO PROFA EM,cynira oliveira de castro profa em,MUNICIPAL,CYNIRA OLIVEIRA DE CASTRO PROFA EM,280896,35280896,VILA SUISSA,MOGI DAS CRUZES,8810090,RUA,RUA ANTONIO MAXIMO,301
mogi das cruzes,JOSE LIMONGI SOBRINHO PROF CEMPRE,jose limongi sobrinho prof cempre,MUNICIPAL,JOSE LIMONGI SOBRINHO PROF CEMPRE,463747,35463747,VILA SAO PAULO,CEZAR DE SOUZA,8840030,AVENIDA,FELIPE SAWAYA,500
santana de parnaiba,IMIDEO GIUSEPPE NERICI PROF COLEGIO MUNICIPAL,imideo giuseppe nerici prof colegio municipal,MUNICIPAL,IMIDEO GIUSEPPE NERICI PROF COLEGIO MUNICIPAL,249622,35249622,CHACARA DO SOLAR I (FAZENDINHA),SANTANA DE PARNAIBA,6530005,RUA,GABRIEL JORGE SALOMAO,13C
santana de parnaiba,MANOEL JACOB CREMM COLEGIO MUNICIPAL,manoel jacob cremm colegio municipal,MUNICIPAL,MANOEL JACOB CREMM COLEGIO MUNICIPAL,218112,35218112,ALDEIA DA SERRA,SANTANA DE PARNAIBA,6519205,ESTRADA,INGAI,1620
santana de parnaiba,SEBASTIAO FLORENCIO DE ATHAYDE DR COLEGIO MUNICIPAL,sebastiao florencio de athayde dr colegio municipal,MUNICIPAL,SEBASTIAO FLORENCIO DE ATHAYDE DR COLEGIO MUNICIPAL,218078,35218078,ITAIM MIRIM,SANTANA DE PARNAIBA,6503100,ESTRADA MUNICIPAL,JOAO SAO,119
mogi das cruzes,THEREZINHA SOARES PROFA EM,therezinha soares profa em,MUNICIPAL,THEREZINHA SOARES PROFA EM,230145,35230145,VILA BRASILEIRA,MOGI DAS CRUZES,8738300,RUA,UNICOR,830
mogi das cruzes,ADOLFO MARTINI PROF EM,adolfo martini prof em,MUNICIPAL,ADOLFO MARTINI PROF EM,224790,35224790,VILA INDUSTRIAL,MOGI DAS CRUZES,8770220,RUA,ANA MARIA BERNARDES,280
mogi das cruzes,CLAUDIO ABRAHAO ENG EM,claudio abrahao eng em,MUNICIPAL,CLAUDIO ABRAHAO ENG EM,82776,35082776,JARDIM AEROPORTO III,BRAS CUBAS,8761000,RUA,BENEDITO DE CARVALHO FILHO,12
mogi das cruzes,LOURENCO DELLA NINA EM,lourenco della nina em,MUNICIPAL,LOURENCO DELLA NINA EM,229659,35229659,JUNDIAPEBA,JUNDIAPEBA,8750720,RUA,MANOEL FERNANDES,1151
santana de parnaiba,MARIA APPARECIDA DE MIRANDA PROFESSORA COLEGIO MUNICIPAL,maria apparecida de miranda professora colegio municipal,MUNICIPAL,MARIA APPARECIDA DE MIRANDA PROFESSORA COLEGIO MUNICIPAL,479385,35479385,SITIO DO ROSARIO,SANTANA DE PARNAIBA,6514115,ESTRADA,POLIDORO,220
santana de parnaiba,HORTENCIA ALVES DOS SANTOS PROFA COLEGIO MUNICIPAL,hortencia alves dos santos profa colegio municipal,MUNICIPAL,HORTENCIA ALVES DOS SANTOS PROFA COLEGIO MUNICIPAL,287349,35287349,JARDIM DAS AVENCAS (FAZENDINHA),SANTANA DE PARNAIBA,6530551,RUA,PIAUI,230
santana de parnaiba,ALBA DE MELLO BONILHA PROFA COLEGIO MUNICIPAL,alba de mello bonilha profa colegio municipal,MUNICIPAL,ALBA DE MELLO BONILHA PROFA COLEGIO MUNICIPAL,218054,35218054,JARDIM FREDIANI,SANTANA DE PARNAIBA,6502156,RUA,NELSON PICCININI MIGUEL,10
sertaozinho,WILLIAN JATENE CASTELO BRANCO DOUTOR EMEI,willian jatene castelo branco doutor emei,MUNICIPAL,WILLIAN JATENE CASTELO BRANCO DOUTOR EMEI,295620,35295620,ALVORADA,SERTAOZINHO,14166040,RUA,WASHINGTON LUIZ,3275
limeira,ALFREDO CHRISTIANO STAHLBERG EMEIEF,alfredo christiano stahlberg emeief,MUNICIPAL,ALFREDO CHRISTIANO STAHLBERG EMEIEF,656823,35656823,BAIRRO DOS FRADES,LIMEIRA,13480970,SITIO SANTA ROSA,VIA MARTIM LUTERO KM 10,SN
limeira,ARACY NOGUEIRA GUIMARAES PROFA EMEIEF,aracy nogueira guimaraes profa emeief,MUNICIPAL,ARACY NOGUEIRA GUIMARAES PROFA EMEIEF,217852,35217852,JARDIM LAGOA NOVA,LIMEIRA,13481780,AVENIDA,AVENIDA  DOUTOR ANTONIO DE LUNA,1465
limeira,WALDEMAR LUCATO DR EMEIEF,waldemar lucato dr emeief,MUNICIPAL,WALDEMAR LUCATO DR EMEIEF,243620,35243620,JARDIM RESIDENCIAL ROSEIRA,LIMEIRA,13482142,RUA,JOSE ALBERTO CAMPANINI,675
lagoinha,ALCEU COELHO PROF EMEF,alceu coelho prof emef,MUNICIPAL,ALCEU COELHO PROF EMEF,274525,35274525,CENTRO,LAGOINHA,12130000,RUA,RUA AGOSTINHO RIBEIRO DOS SANTOS,230
sao jose do rio pardo,ALICE VILLELA PEREIRA DIAS CRECHE EMEB,alice villela pereira dias creche emeb,MUNICIPAL,ALICE VILLELA PEREIRA DIAS CRECHE EMEB,209752,35209752,VALE DO REDENTOR IV,SAO JOSE DO RIO PARDO,13720000,PREDIO,RUA NEZIO FELISBERTO,81
sao jose do rio pardo,STELLA MARIS BARBOSA CATALANO PROFESSORA EMEB,stella maris barbosa catalano professora emeb,MUNICIPAL,STELLA MARIS BARBOSA CATALANO PROFESSORA EMEB,99867,35099867,CARLOS CASSUCI,SAO JOSE DO RIO PARDO,13720000,AVENIDA,AVENIDA DOS BRAGUETTAS,1055
sertaozinho,JOSE NEGRI PROFESSOR EMEF,jose negri professor emef,MUNICIPAL,JOSE NEGRI PROFESSOR EMEF,73520,35073520,JARDIM RECREIO,SERTAOZINHO,14170120,RUA,RUA JORDAO BORGHETTI,147
sertaozinho,ARACY PELA PROFESSORA EMEI,aracy pela professora emei,MUNICIPAL,ARACY PELA PROFESSORA EMEI,496030,35496030,JARDIM PORTO SEGURO,SERTAOZINHO,14178048,RUA,RUA MANOEL SOARES CESAR,291
sao pedro,BENEDITO MODESTO DE PAULA PROF EMEB,benedito modesto de paula prof emeb,MUNICIPAL,BENEDITO MODESTO DE PAULA PROF EMEB,226427,35226427,JARDIM CASSIO PASCHOAL PADOVANI,SAO PEDRO,13520000,RUA,RUA JORGE DE TOLEDO,SN
paraguacu paulista,ARCO IRIS ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,arco iris escola municipal de educacao infantil,MUNICIPAL,ARCO IRIS ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,223311,35223311,BARRA FUNDA,PARAGUACU PAULISTA,19700000,RUA,AVENIDA JORGE ESTEVAM,561
sertaozinho,ANACLETO CRUZ PROFESSOR EMEF,anacleto cruz professor emef,MUNICIPAL,ANACLETO CRUZ PROFESSOR EMEF,248599,35248599,CENTRO,SERTAOZINHO,14160030,RUA,RUA APRIGIO DE ARAUJO,769
sertaozinho,NAIR TEIXEIRA ORTOLAN PROFESSORA EMEF,nair teixeira ortolan professora emef,MUNICIPAL,NAIR TEIXEIRA ORTOLAN PROFESSORA EMEF,248587,35248587,PARQUE RESIDENCIAL FRANCISCO PASCHOAL,SERTAOZINHO,14177170,AVENIDA,AVENIDA HIDEO TAKADA,1008
paraguacu paulista,ALEXANDRINA PENNA EMEF,alexandrina penna emef,MUNICIPAL,ALEXANDRINA PENNA EMEF,245197,35245197,BARRA FUNDA,PARAGUACU PAULISTA,19700000,RUA,RUA DOS VIEIRAS,260
sertaozinho,SILVIO SARTI DOUTOR EMEF,silvio sarti doutor emef,MUNICIPAL,SILVIO SARTI DOUTOR EMEF,248617,35248617,CONJUNTO HABITACIONAL MAURILIO BIAGI,SERTAOZINHO,14177278,RUA,RUA ANGELO GUIDI,1028
limeira,CLARA MONZONI LANG PROFA EMEIEF,clara monzoni lang profa emeief,MUNICIPAL,CLARA MONZONI LANG PROFA EMEIEF,217876,35217876,ANAVEC,LIMEIRA,13485160,RUA,ANTONIO BAGNOLI,SN
sao pedro,ADRIANA DANIEL PROFESSORA EMEB,adriana daniel professora emeb,MUNICIPAL,ADRIANA DANIEL PROFESSORA EMEB,369998,35369998,SAO TOME,SAO PEDRO,13520000,"",RUA OLGA FONSECA DE AGUIAR,445
