no_municipio,nome_escola_siope,esc,nome_dependencia_administrativa,nome_escola_secretaria,codigo_escola,codigo_mec,bairro,distrito,cep,complemento,endereco,numero
osasco,HUGO RIBEIRO DE ALMEIDA DR EMEF,hugo ribeiro de almeida dr emef,MUNICIPAL,HUGO RIBEIRO DE ALMEIDA DR EMEF,217141,35217141,JARDIM CANAA,OSASCO,6233310,RUA,RUA IMACULADO CORACAO DE MARIA,195
brotas,ALVARO CALLADO EM,alvaro callado em,MUNICIPAL,ALVARO CALLADO EM,61335,35061335,CENTRO,BROTAS,17380000,AVENIDA,PRACA DUQUE DE CAXIAS,20
francisco morato,EDITE PEREIRA DE ARRUDA ESCOLA MUNICIPAL,edite pereira de arruda escola municipal,MUNICIPAL,EDITE PEREIRA DE ARRUDA ESCOLA MUNICIPAL,273831,35273831,JARDIM ALEGRIA,FRANCISCO MORATO,7985050,AVENIDA,RUA UBERABA,156
francisco morato,MACHADO DE ASSIS ESCOLA MUNICIPAL,machado de assis escola municipal,MUNICIPAL,MACHADO DE ASSIS ESCOLA MUNICIPAL,360818,35360818,PARQUE AGUA VERMELHA,FRANCISCO MORATO,7912150,RUA,DONALD SAVAZONI,25
francisco morato,LAIRCE DOS SANTOS LUPIANHA PROFA ESCOLA MUNICIPAL,lairce dos santos lupianha profa escola municipal,MUNICIPAL,LAIRCE DOS SANTOS LUPIANHA PROFA ESCOLA MUNICIPAL,276777,35276777,JARDIM PROFESSOR FRANCISCO MORATO,FRANCISCO MORATO,7910210,RUA,JOAO MENDES JUNIOR,220
francisco morato,JOSE BEZERRA SANCHES PREFEITO ESCOLA MUNICIPAL,jose bezerra sanches prefeito escola municipal,MUNICIPAL,JOSE BEZERRA SANCHES PREFEITO ESCOLA MUNICIPAL,276765,35276765,JARDIM SINOBE,FRANCISCO MORATO,7908180,RUA,JOSE BONIFACIO,273
francisco morato,ESCOLA MUNICIPAL ANTONIO MUNIZ,escola municipal antonio muniz,MUNICIPAL,ESCOLA MUNICIPAL ANTONIO MUNIZ,582451,35582451,JARDIM VASSOURAS,FRANCISCO MORATO,7957100,RUA,IRENE ROTIROTI PINHEIRO,271
lencois paulista,NELSON BROLLO PROF EMEIF,nelson brollo prof emeif,MUNICIPAL,NELSON BROLLO PROF EMEIF,247650,35247650,JARDIM MONTE AZUL,LENCOIS PAULISTA,18682782,RUA,RUA EDGAR PRINCIPE PENHAFIEL,10
lencois paulista,IRMA CARRIT EMEIF,irma carrit emeif,MUNICIPAL,IRMA CARRIT EMEIF,64048,35064048,JARDIM CRUZEIRO,LENCOIS PAULISTA,18680530,RUA,RUA MINAS GERAIS,235
olimpia,THEODOMIRO DA SILVA MELO EMEB,theodomiro da silva melo emeb,MUNICIPAL,THEODOMIRO DA SILVA MELO EMEB,230704,35230704,JARDIM SILVA MELO,OLIMPIA,15400000,"",ELEAZAR DE MENEZES,60
francisco morato,AMADO PINTO DE SANTANA VEREADOR EM,amado pinto de santana vereador em,MUNICIPAL,AMADO PINTO DE SANTANA VEREADOR EM,246724,35246724,JARDIM VAGLIENGO,FRANCISCO MORATO,7914110,RUA,WALTER DE OLIVEIRA BUENO,195
francisco morato,ERICO VERISSIMO ESCOLA MUNICIPAL,erico verissimo escola municipal,MUNICIPAL,ERICO VERISSIMO ESCOLA MUNICIPAL,295673,35295673,JARDIM VASSOURAS II,FRANCISCO MORATO,7953260,RUA,JORGE VIRGULINO,240
francisco morato,VANDA TERESINHA NALIN PROFA ESCOLA MUNICIPAL,vanda teresinha nalin profa escola municipal,MUNICIPAL,VANDA TERESINHA NALIN PROFA ESCOLA MUNICIPAL,276790,35276790,JARDIM ROSA,FRANCISCO MORATO,7991040,RUA,RUA JOSIAS PEREIRA DE SOUZA,289
lencois paulista,LINA BOSI CANOVA PROFA EMEF,lina bosi canova profa emef,MUNICIPAL,LINA BOSI CANOVA PROFA EMEF,240850,35240850,JARDIM UBIRAMA,LENCOIS PAULISTA,18683560,RUA,CANDIDO ALVIM DE PAULA,360
francisco morato,ZELIA GATTAI ESCOLA MUNICIPAL,zelia gattai escola municipal,MUNICIPAL,ZELIA GATTAI ESCOLA MUNICIPAL,231496,35231496,JARDIM SANTO ANTONIO,FRANCISCO MORATO,7910015,RUA,RUA PACHECO PRATES,25
jau,SANDRA VALERIA SAGIORO CAMPESE CMEI,sandra valeria sagioro campese cmei,MUNICIPAL,SANDRA VALERIA SAGIORO CAMPESE CMEI,279663,35279663,MARIA LUIZA IV,JAU,17213270,AVENIDA,AVENIDA PRIMO GAZZOLI,99
jau,PADUA SALLES DOUTOR EMEF,padua salles doutor emef,MUNICIPAL,PADUA SALLES DOUTOR EMEF,219484,35219484,CENTRO,JAU,17201440,RUA,RUA EDGARD FERRAZ,665
alvares machado,APARECIDA MARQUES VACCARO EMEIF,aparecida marques vaccaro emeif,MUNICIPAL,APARECIDA MARQUES VACCARO EMEIF,65407,35065407,JARDIM RAIO DO SOL,ALVARES MACHADO,19160000,RUA,AVENIDA BRASIL,115
alvares machado,MARCIA HELENA FERNANDEZ DE ARAUJO PROFA EMEIF,marcia helena fernandez de araujo profa emeif,MUNICIPAL,MARCIA HELENA FERNANDEZ DE ARAUJO PROFA EMEIF,267788,35267788,JARDIM PANORAMA,ALVARES MACHADO,19160000,RUA,RUA GRACA ARANHA,SN
lencois paulista,OLIVEIRO EMILIANO RIBEIRO CRECHE,oliveiro emiliano ribeiro creche,MUNICIPAL,OLIVEIRO EMILIANO RIBEIRO CRECHE,127048,35127048,CONJUNTO HABITACIONAL MAESTRO JULIO FERRARI,LENCOIS PAULISTA,18684030,RUA,DEGLEIR ADALBERTO MARTINS TANGERINO,220
francisco morato,TANIA FERNANDES PROFA ESCOLA MUNICIPAL,tania fernandes profa escola municipal,MUNICIPAL,TANIA FERNANDES PROFA ESCOLA MUNICIPAL,276807,35276807,JARDIM LILIANE,FRANCISCO MORATO,7907070,RUA,RUA LONDRES,146
francisco morato,TARSILA DO AMARAL ESCOLA MUNICIPAL,tarsila do amaral escola municipal,MUNICIPAL,TARSILA DO AMARAL ESCOLA MUNICIPAL,445236,35445236,JARDIM VASSOURAS,FRANCISCO MORATO,7952190,RUA,NAIR DA SILVA GLINGLANI,188
palestina,IZALTINA VICENTE ALVES PROFA EMEB,izaltina vicente alves profa emeb,MUNICIPAL,IZALTINA VICENTE ALVES PROFA EMEB,469749,35469749,CENTRO,PALESTINA,15470000,RUA,RUA 9 DE JULHO,583
mirassolandia,CHRISOSTIMO REDIGOLO EMEF,chrisostimo redigolo emef,MUNICIPAL,CHRISOSTIMO REDIGOLO EMEF,282819,35282819,JARDIM EMILIA,MIRASSOLANDIA,15145000,RUA,RUA SIMAO DA SILVA BASTOS,665
mirassolandia,CRECHE ESCOLA MARIA LUIZA,creche escola maria luiza,MUNICIPAL,CRECHE ESCOLA MARIA LUIZA,4033,35004033,CENTRO,MIRASSOLANDIA,15145000,"",LAUDELINO CUNHA VIANA,474
taboao da serra,ANISIO DIAS DOS REIS DR EMEF,anisio dias dos reis dr emef,MUNICIPAL,ANISIO DIAS DOS REIS DR EMEF,275897,35275897,JARDIM SAINT MORITZ,TABOAO DA SERRA,6787620,RUA,RUA LUIZA HELLMEISTER JURADO,34
taboao da serra,MINGAU EMEI,mingau emei,MUNICIPAL,MINGAU EMEI,203208,35203208,JARDIM MARIA ROSA,TABOAO DA SERRA,6763270,AVENIDA,JOSE MACIEL DOUTOR,708
buri,ELISA MARTIRANI WINKLER PROFA EM,elisa martirani winkler profa em,MUNICIPAL,ELISA MARTIRANI WINKLER PROFA EM,191668,35191668,SAO RAFAEL,BURI,18290000,RUA,RUA OROZIMBO SILVA DE ALMEIDA,SN
jau,HILARINHO CRECHE CMEI,hilarinho creche cmei,MUNICIPAL,HILARINHO CRECHE CMEI,210730,35210730,VILA NOVA,JAU,17205160,RUA,RUA PRUDENTE DE MORAES,1019
lencois paulista,MARIA MORETTO BOSO DONA CRECHE MUNICIPAL,maria moretto boso dona creche municipal,MUNICIPAL,MARIA MORETTO BOSO DONA CRECHE MUNICIPAL,299716,35299716,JARDIM PRIMAVERA,LENCOIS PAULISTA,18686310,RUA,NESTOR LUMINATTI,54
lencois paulista,WALT DISNEY EMEI,walt disney emei,MUNICIPAL,WALT DISNEY EMEI,64129,35064129,CENTRO,LENCOIS PAULISTA,18682180,RUA,RUA CORONEL ALVARO MARTINS,510
francisco morato,JOAO GUIMARES ROSA ESCOLA MUNICIPAL,joao guimares rosa escola municipal,MUNICIPAL,JOAO GUIMARES ROSA ESCOLA MUNICIPAL,445149,35445149,JARDIM PROFESSOR FRANCISCO MORATO,FRANCISCO MORATO,7910220,RUA,JOAO MENDES JUNIOR,648
jau,MARTHA VIANNA DE OLIVEIRA PROFA CMEI,martha vianna de oliveira profa cmei,MUNICIPAL,MARTHA VIANNA DE OLIVEIRA PROFA CMEI,224674,35224674,JARDIM  AMERICA,JAU,17210580,RUA,RUA RAPHAEL DE ALMEIDA LEITE,99
tejupa,HILDA DOGNANI BORANELLI EMEF,hilda dognani boranelli emef,MUNICIPAL,HILDA DOGNANI BORANELLI EMEF,220700,35220700,CENTRO,TEJUPA,18830000,RUA,TRAVESSA ANTONIO NICOLAU FERREIRA,SN
lencois paulista,MARIA CORDEIRO FERNANDES ORSI PROFA EMEI,maria cordeiro fernandes orsi profa emei,MUNICIPAL,MARIA CORDEIRO FERNANDES ORSI PROFA EMEI,91650,35091650,NUCLEO HABITACIONAL JOAO ZILLO,LENCOIS PAULISTA,18681490,RUA,ASSIS CHATEAUBRIAND,53
lencois paulista,EDWALDO ROQUE BIANCHINI PROF EMEF,edwaldo roque bianchini prof emef,MUNICIPAL,EDWALDO ROQUE BIANCHINI PROF EMEF,221879,35221879,CONJUNTO HABITACIONAL LENCOIS PAULISTA,LENCOIS PAULISTA,18681850,RUA,DANILO GOMES,40
olimpia,PEDRINHO EMEB,pedrinho emeb,MUNICIPAL,PEDRINHO EMEB,225654,35225654,JARDIM HELIO CAZARINI,OLIMPIA,15400000,"",DOUTOR MINISTRO PEDRO R M CHAVES,145
olimpia,JOAQUIM MIGUEL DOS SANTOS EMEB,joaquim miguel dos santos emeb,MUNICIPAL,JOAQUIM MIGUEL DOS SANTOS EMEB,230698,35230698,SAO JOSE,OLIMPIA,15400000,"",AMERICO FONSECA,110
jau,JANDYRA DE ARAUJO NEVES CENTRO MUNICIPAL EDUCACAO INFANTIL,jandyra de araujo neves centro municipal educacao infantil,MUNICIPAL,JANDYRA DE ARAUJO NEVES CENTRO MUNICIPAL EDUCACAO INFANTIL,234539,35234539,JARDIM CAROLINA,JAU,17207650,AVENIDA,AVENIDA TULLIO BERTOLDI,44
tejupa,JOSEMARY APARECIDA BRIZOLA RIBEIRO CRECHE MUNICIPAL,josemary aparecida brizola ribeiro creche municipal,MUNICIPAL,JOSEMARY APARECIDA BRIZOLA RIBEIRO CRECHE MUNICIPAL,197592,35197592,RIBEIRAO BONITO,TEJUPA,18830000,LOTEAMENTO  IAFAM,RUA HUM,10
francisco morato,CASTRO ALVES ESCOLA MUNICIPAL,castro alves escola municipal,MUNICIPAL,CASTRO ALVES ESCOLA MUNICIPAL,249634,35249634,JARDIM ARPOADOR,FRANCISCO MORATO,7945090,RUA,RUA LAZARO CLAUDIO OLIVEIRA,847
francisco morato,ALMEIDA JUNIOR ESCOLA MUNICIPAL,almeida junior escola municipal,MUNICIPAL,ALMEIDA JUNIOR ESCOLA MUNICIPAL,249646,35249646,JARDIM VASSOURA I,FRANCISCO MORATO,7952130,RUA,RUA ODALIO BARBOSA DO NASCIMENTO,485
tejupa,JOSE GONCALVES PROFESSOR EMEI,jose goncalves professor emei,MUNICIPAL,JOSE GONCALVES PROFESSOR EMEI,61712,35061712,CENTRO,TEJUPA,18830000,RUA,RUA ALESSANDRO ALVARO DO ROSARIO,SN
francisco morato,ESCOLA MUNICIPAL PROFESSORA SANDRA REGINA COELHO RODRIGUES,escola municipal professora sandra regina coelho rodrigues,MUNICIPAL,ESCOLA MUNICIPAL PROFESSORA SANDRA REGINA COELHO RODRIGUES,583613,35583613,JARDIM ANTOMAR,FRANCISCO MORATO,7950250,RUA,LUIZ VICENTINA NATALICIO,23
taboao da serra,ANINHA ESCOLA MUNICIPAL INFANTIL,aninha escola municipal infantil,MUNICIPAL,ANINHA ESCOLA MUNICIPAL INFANTIL,574831,35574831,JARDIM NOVO RECORD,TABOAO DA SERRA,6784545,"",RUA ARACA,10
taboao da serra,DORINHA ESCOLA MUNICIPAL INFANTIL,dorinha escola municipal infantil,MUNICIPAL,DORINHA ESCOLA MUNICIPAL INFANTIL,429090,35429090,JARDIM MARIA LUIZA,TABOAO DA SERRA,6770200,RUA,FLAVIO DOHOCZKI,436
estrela do norte,BENEDICTA DE OLIVEIRA SILVA EMEI,benedicta de oliveira silva emei,MUNICIPAL,BENEDICTA DE OLIVEIRA SILVA EMEI,479718,35479718,VILA SAO JOSE,ESTRELA DO NORTE,19230000,RUA,RUA AVELINO ANTONIO VANDERLEI,70
areias,ANTONIO PINTO DE CARVALHO NETO PROF EMEF,antonio pinto de carvalho neto prof emef,MUNICIPAL,ANTONIO PINTO DE CARVALHO NETO PROF EMEF,240187,35240187,CENTRO,AREIAS,12820000,TRAVESSA,AVENIDA SIQUEIRA CAMPOS,605
taboao da serra,DONA BENTA EMEI,dona benta emei,MUNICIPAL,DONA BENTA EMEI,78876,35078876,JARDIM ROBERTO,TABOAO DA SERRA,6775040,RUA,MANOEL ANTONIO FERREIRA,226
taboao da serra,CUCA ESCOLA MUNICIPAL INFANTIL,cuca escola municipal infantil,MUNICIPAL,CUCA ESCOLA MUNICIPAL INFANTIL,572378,35572378,JARDIM IRAPUA,TABOAO DA SERRA,6766380,RUA,MARIA BENEDITA TEIXEIRA LEITE,SN
taboao da serra,RUI BARBOSA EMEFEM,rui barbosa emefem,MUNICIPAL,RUI BARBOSA EMEFEM,81486,35081486,JARDIM VIRGINIA,TABOAO DA SERRA,6753310,RUA,ARMEZINDA DE JESUS PEREIRA,60
clementina,SABINO SOARES VEREADOR EMEI,sabino soares vereador emei,MUNICIPAL,SABINO SOARES VEREADOR EMEI,73775,35073775,PLANALTO,CLEMENTINA,16250000,RUA,RUA VEREADOR ANTONIO TEDESCHI,145
clementina,MARIA CONCEICAO DE SOUZA EMEF,maria conceicao de souza emef,MUNICIPAL,MARIA CONCEICAO DE SOUZA EMEF,227584,35227584,CENTRO,CLEMENTINA,16250000,RUA,RUA SANTA CATARINA,152
amparo,GISLENE APARECIDA DA COSTA CORREA PROFA EMEF,gislene aparecida da costa correa profa emef,MUNICIPAL,GISLENE APARECIDA DA COSTA CORREA PROFA EMEF,282418,35282418,JARDIM SILVESTRE II,AMPARO,13905470,RUA,ARLINDO FAVA,215
amparo,CINDERELA CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,cinderela centro integrado municipal de educacao,MUNICIPAL,CINDERELA CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,70683,35070683,JARDIM MODELO,AMPARO,13905694,RUA,RUA JOSE BUENO DE GODOY,31
amparo,PLINIO MORATO DE OLIVEIRA CIME,plinio morato de oliveira cime,MUNICIPAL,PLINIO MORATO DE OLIVEIRA CIME,659381,35659381,BRUMADO,AMPARO,13901814,"KM 148,5",RODOVIA SP-352,SN
sao bernardo do campo,LOPES TROVAO EMEB,lopes trovao emeb,MUNICIPAL,LOPES TROVAO EMEB,278531,35278531,INDEPENDENCIA,SAO BERNARDO DO CAMPO,9861390,RUA,AUSTRALIA,120
viradouro,SANDOVAL JOSE DE ALMEIDA DOUTOR EMEF,sandoval jose de almeida doutor emef,MUNICIPAL,SANDOVAL JOSE DE ALMEIDA DOUTOR EMEF,228588,35228588,CENTRO,VIRADOURO,14740000,RUA,RUA BENJAMIN CONSTANT,113
amparo,SILVIO VICHI PROFESSOR ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,silvio vichi professor escola municipal de educacao infantil,MUNICIPAL,SILVIO VICHI PROFESSOR ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,68248,35068248,JARDIM SAO DIMAS,AMPARO,13905620,RUA,ALCIDES POSTALI,420
sao bernardo do campo,HYGINO BAPTISTA DE LIMA EMEB,hygino baptista de lima emeb,MUNICIPAL,HYGINO BAPTISTA DE LIMA EMEB,85807,35085807,FERRAZOPOLIS,SAO BERNARDO DO CAMPO,9781030,RUA,ABRAMO LUCHESI,6
hortolandia,JARDIM NOSSA SENHORA AUXILIADORA EMEI,jardim nossa senhora auxiliadora emei,MUNICIPAL,JARDIM NOSSA SENHORA AUXILIADORA EMEI,271810,35271810,JARDIM NOSSA SENHORA AUXILIADORA,HORTOLANDIA,13183370,RUA,RUA IZADIA FABRICIO DA SILVA,228
hortolandia,NICOLAS THIAGO DOS SANTOS LOFRANI EMEF,nicolas thiago dos santos lofrani emef,MUNICIPAL,NICOLAS THIAGO DOS SANTOS LOFRANI EMEF,81231,35081231,JARDIM SUMAREZINHO,HORTOLANDIA,13185015,RUA,RUA LEALDO JOSE DOS SANTOS,170
viradouro,MARIA ZAMARIOLI DOUTORA CENTRO MUNICIPAL DE EDUC INFANTIL,maria zamarioli doutora centro municipal de educ infantil,MUNICIPAL,MARIA ZAMARIOLI DOUTORA CENTRO MUNICIPAL DE EDUC INFANTIL,231332,35231332,VILA FALCONE,VIRADOURO,14740000,RUA,RUA ESPIRITO SANTO,523
sao manuel,MARIA JOSE BORDINI PASCHOAL PROFA EMEI,maria jose bordini paschoal profa emei,MUNICIPAL,MARIA JOSE BORDINI PASCHOAL PROFA EMEI,78190,35078190,VILA SAO GERALDO,SAO MANUEL,18650000,VIA,AVENIDA COMENDADOR LUIZ FITTIPALDI,500
viradouro,MARILIA RIBEIRO PORTO ROSSETO PROFESSORA EMEF,marilia ribeiro porto rosseto professora emef,MUNICIPAL,MARILIA RIBEIRO PORTO ROSSETO PROFESSORA EMEF,304591,35304591,JARDIM DAS PALMEIRAS,VIRADOURO,14740000,"",RUA TIRADENTES,1341
sao manuel,MARIA JOSE MORENO DAGINA EMEI,maria jose moreno dagina emei,MUNICIPAL,MARIA JOSE MORENO DAGINA EMEI,76648,35076648,COHAB I,SAO MANUEL,18650000,VIA,AVENIDA SAO MANUEL,SN
amparo,POLICHINELO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,polichinelo centro integrado municipal de educacao,MUNICIPAL,POLICHINELO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,70725,35070725,JARDIM SANTO ANTONIO,AMPARO,13901210,RUA,ISABEL PRINCESA,181
amparo,GASPARZINHO ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,gasparzinho escola municipal de ensino fundamental,MUNICIPAL,GASPARZINHO ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,70750,35070750,CENTRO,AMPARO,13900460,RUA,JOSE ARAUJO CINTRA,20
hortolandia,ANA JOSE BODINI JANUARIO DONA EMEF,ana jose bodini januario dona emef,MUNICIPAL,ANA JOSE BODINI JANUARIO DONA EMEF,81139,35081139,JARDIM AMANDA,HORTOLANDIA,13188000,AVENIDA,AVENIDA SANTANA,999
hortolandia,LILIAN CRISTIANE MARTINS DE ARAUJO PROFESSORA EMEF,lilian cristiane martins de araujo professora emef,MUNICIPAL,LILIAN CRISTIANE MARTINS DE ARAUJO PROFESSORA EMEF,296348,35296348,JARDIM ESTEFANIA,HORTOLANDIA,13184771,RUA,RUA ROSENO PEREIRA ( ANTIGA RUA DOIS ),325
taboao da serra,SAO JUDAS TADEU ESCOLA MUNICIPAL INFANTIL,sao judas tadeu escola municipal infantil,MUNICIPAL,SAO JUDAS TADEU ESCOLA MUNICIPAL INFANTIL,438297,35438297,JARDIM SAO JUDAS TADEU,TABOAO DA SERRA,6786510,RUA,VICENTE LEPORACE,77
boa esperanca do sul,ANA DA CUNHA VIANA PROFA EPGM,ana da cunha viana profa epgm,MUNICIPAL,ANA DA CUNHA VIANA PROFA EPGM,215235,35215235,JARDIM PADRE RICCI,BOA ESPERANCA DO SUL,14930000,RUA,RUA TENETE PENHA,841
boa esperanca do sul,ANTONIO JARBAS BERALDO VEREADOR EPGM,antonio jarbas beraldo vereador epgm,MUNICIPAL,ANTONIO JARBAS BERALDO VEREADOR EPGM,245926,35245926,JARDIM VISTA VERDE,BOA ESPERANCA DO SUL,14930000,RUA,RUA ANTONIA DE PAULA FRANCO,821
sao manuel,WALTER CARRER PROF EMEFEI,walter carrer prof emefei,MUNICIPAL,WALTER CARRER PROF EMEFEI,214206,35214206,VILA IPIRANGA,SAO MANUEL,18650000,VIA,RUA MARCELO GIORGI,250
amparo,GARIBALDO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,garibaldo centro integrado municipal de educacao,MUNICIPAL,GARIBALDO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,70695,35070695,JARDIM DAS AVES,AMPARO,13903402,RUA,RUA TIE,184
sao bernardo do campo,RUI BARBOSA EMEB,rui barbosa emeb,MUNICIPAL,RUI BARBOSA EMEB,50994,35050994,VILA LUSITANIA,SAO BERNARDO DO CAMPO,9725160,RUA,BRAGA,20
hortolandia,HORTOLANDIA DEPARTAMENTO DE EDUCACAO DE,hortolandia departamento de educacao de,MUNICIPAL,HORTOLANDIA DEPARTAMENTO DE EDUCACAO DE,73611,35073611,BAIRRO TERRA PRETA,HORTOLANDIA,13170971,"",RODOVIA JORNALISTA FRANCISCO DE AGUIRRE PROENCA,KM 13
viradouro,ALBERTINA DE GODOY SAAB EMEI,albertina de godoy saab emei,MUNICIPAL,ALBERTINA DE GODOY SAAB EMEI,205503,35205503,CENTRO,VIRADOURO,14740000,RUA,RUA HUMBERTO TORTORELI,32
tres fronteiras,EDA NEVES DE MELO PROFA EM,eda neves de melo profa em,MUNICIPAL,EDA NEVES DE MELO PROFA EM,86915,35086915,CENTRO,TRES FRONTEIRAS,15770000,AVENIDA,RUA TAQUARITINGA,393
charqueada,BRAZ GIUSEPPE FEDRIGO EMEB,braz giuseppe fedrigo emeb,MUNICIPAL,BRAZ GIUSEPPE FEDRIGO EMEB,278403,35278403,SANTA LUZIA,CHARQUEADA,13515000,AVENIDA,RUA REGINA VICENTINI DIEHL,3
hortolandia,VILLAGIO GUIRALDELLI EMEF,villagio guiraldelli emef,MUNICIPAL,VILLAGIO GUIRALDELLI EMEF,82193,35082193,VILLAGIO GHIRALDELLI,HORTOLANDIA,13184251,RUA,RUA GABRIEL COSTA CAMARGO,60
capao bonito,PEDRO JOSE VIEIRA MONSENHOR EM,pedro jose vieira monsenhor em,MUNICIPAL,PEDRO JOSE VIEIRA MONSENHOR EM,80494,35080494,VILA NOVA CAPAO BONITO,CAPAO BONITO,18304518,ESTRADA,MUNICIPAL CAPUAVA,SN
amparo,CIME PROFESSORA MARIA LUCIA DE SIQUEIRA,cime professora maria lucia de siqueira,MUNICIPAL,CIME PROFESSORA MARIA LUCIA DE SIQUEIRA,585212,35585212,RESIDENCIAL SANTA MARIA AMPARO,AMPARO,13905775,AVENIDA,JOSE DE GIUSEPPE,401
sao bernardo do campo,ODETTE EDITH PERIGO DE LIMA EMEB,odette edith perigo de lima emeb,MUNICIPAL,ODETTE EDITH PERIGO DE LIMA EMEB,95370,35095370,BAETA NEVES,SAO BERNARDO DO CAMPO,9760372,RUA,GIACINTO TOGNATO,2400
sao bernardo do campo,SANDRA CRUZ MARTINS FREITAS PROFA EMEB,sandra cruz martins freitas profa emeb,MUNICIPAL,SANDRA CRUZ MARTINS FREITAS PROFA EMEB,229921,35229921,DEMARCHI,SAO BERNARDO DO CAMPO,9820340,RUA,VALDOMIRO LUIZ,181
viradouro,ODETE VASSALO PICOLI EMEI,odete vassalo picoli emei,MUNICIPAL,ODETE VASSALO PICOLI EMEI,276085,35276085,JARDIM PALMEIRAS,VIRADOURO,14740000,RUA,RUA TIRADENTES,1321
viradouro,MILTON MARCAL SILVEIRA EMEF,milton marcal silveira emef,MUNICIPAL,MILTON MARCAL SILVEIRA EMEF,280082,35280082,MARIA MAE DE JESUS,VIRADOURO,14740000,"",RUA 7 DE SETEMBRO,1300
amparo,EMEF FLORIPES BUENO DA SILVA PROFA,emef floripes bueno da silva profa,MUNICIPAL,EMEF FLORIPES BUENO DA SILVA PROFA,226890,35226890,JD. SILVESTRE I,AMPARO,13905412,"KM 45,2",RODOVIA JOAO BEIRA - SP 95,SN
amparo,BEATRIZ SILVEIRA MONTEIRO PROFA CIME,beatriz silveira monteiro profa cime,MUNICIPAL,BEATRIZ SILVEIRA MONTEIRO PROFA CIME,322350,35322350,JARDIM SILVESTRE I,AMPARO,13905465,RUA,ANTONIO OLIVIO NARDINE,160
sao bernardo do campo,DOLORES DE TOLEDO DE MATTEO PROFA EMEB,dolores de toledo de matteo profa emeb,MUNICIPAL,DOLORES DE TOLEDO DE MATTEO PROFA EMEB,229994,35229994,JARDIM INDUSTRIAL,SAO BERNARDO DO CAMPO,9762040,RUA,RUA SABINO DEMARCHI,250
sao bernardo do campo,GERALDO DE MELO FERREIRA EMEB,geraldo de melo ferreira emeb,MUNICIPAL,GERALDO DE MELO FERREIRA EMEB,230017,35230017,PARQUE SAO BERNARDO,SAO BERNARDO DO CAMPO,9761170,RUA,ALMEIDA LEME,151
viradouro,JOSE RODRIGUES BENTO NUCLEO I M DE ENSINO FUNDAMENTAL,jose rodrigues bento nucleo i m de ensino fundamental,MUNICIPAL,JOSE RODRIGUES BENTO NUCLEO I M DE ENSINO FUNDAMENTAL,386224,35386224,CENTRO,VIRADOURO,14740000,RUA,PRACA FRANCISCO BRAGA,74
sao sebastiao,VILMA APARECIDA DE ALMEIDA RIBAS PROFESSORA EM,vilma aparecida de almeida ribas professora em,MUNICIPAL,VILMA APARECIDA DE ALMEIDA RIBAS PROFESSORA EM,221478,35221478,BORACEIA,SAO SEBASTIAO,11600000,RUA,ALAMEDA MAUA,SN
sao sebastiao,ENSEADA MARIA LEONARDA DA COSTA EMEI CRECHE,enseada maria leonarda da costa emei creche,MUNICIPAL,ENSEADA MARIA LEONARDA DA COSTA EMEI CRECHE,212635,35212635,ENSEADA,SAO SEBASTIAO,11600000,"",RUA VARGINHA,30
sao sebastiao,TEREZA MOTA SANTOS REINO DA ALEGRIA EMEI,tereza mota santos reino da alegria emei,MUNICIPAL,TEREZA MOTA SANTOS REINO DA ALEGRIA EMEI,91078,35091078,TOPOLANDIA,SAO SEBASTIAO,11600000,RUA,RUA ONOFRE SANTOS,770
porto ferreira,ASMELIDE ZUZZI BRUNO CRECHE,asmelide zuzzi bruno creche,MUNICIPAL,ASMELIDE ZUZZI BRUNO CRECHE,235787,35235787,JARDIM ANESIA,PORTO FERREIRA,13660000,RUA,RUA LYDIA TIZIANI BOSSEDA,SN
barueri,ELIZABETH PARMINONDI ROMERO PROFA EM,elizabeth parminondi romero profa em,MUNICIPAL,ELIZABETH PARMINONDI ROMERO PROFA EM,457693,35457693,JARDIM GRAZIELA,BARUERI,6418020,RUA,IEPE,11
sao sebastiao,TOPOLANDIA ESCOLA MUNICIPAL DA,topolandia escola municipal da,MUNICIPAL,TOPOLANDIA ESCOLA MUNICIPAL DA,448916,35448916,TOPOLANDIA,SAO SEBASTIAO,11600000,RUA,JOSE MACHADO ROSA,349
barueri,EZIO BERZAGHI PROFESSOR EMEF,ezio berzaghi professor emef,MUNICIPAL,EZIO BERZAGHI PROFESSOR EMEF,451101,35451101,JARDIM BELVAL,JARDIM BELVAL,6420130,AVENIDA,AVENIDA HENRIQUE GONCALVES BATISTA,1101
barueri,JOSE DOMINGOS DA SILVEIRA PROF EMEF,jose domingos da silveira prof emef,MUNICIPAL,JOSE DOMINGOS DA SILVEIRA PROF EMEF,241647,35241647,JARDIM MUTINGA,BARUERI,6463050,AVENIDA,VICENTE DE PAULA SAO,100
